true,predicted,predicted_std,lower_95CI,upper_95CI
57.1,79.05337,14.284598,51.055553,107.05118
57.1,78.488495,14.238144,50.581734,106.395256
57.1,78.03348,14.1999035,50.201668,105.86529
57.1,78.66476,14.252711,50.729443,106.60007
57.1,78.61881,14.2486105,50.691536,106.54609
57.1,78.60695,14.247839,50.681183,106.532715
57.1,78.03653,14.200239,50.20406,105.869
57.1,78.5857,14.246175,50.6632,106.5082
57.1,78.23369,14.216944,50.368477,106.0989
57.1,79.97621,14.359412,51.831764,108.12066
57.1,79.05382,14.285231,51.054764,107.05287
57.1,78.95429,14.277505,50.970383,106.9382
57.1,78.70201,14.255886,50.760475,106.64355
57.1,78.70705,14.256872,50.763577,106.65051
57.1,78.93224,14.275027,50.95319,106.9113
57.1,78.82743,14.266804,50.864494,106.79037
57.1,79.07577,14.287115,51.07302,107.078514
57.1,78.90175,14.2730875,50.9265,106.877
57.1,79.50458,14.322072,51.433315,107.575836
57.1,81.52303,14.484969,53.132492,109.913574
60.4,80.71428,14.421694,52.44776,108.9808
60.4,80.62009,14.414015,52.368618,108.87155
60.4,80.439026,14.399125,52.21674,108.661316
60.4,80.56853,14.409678,52.325558,108.81149
60.4,80.72011,14.422113,52.452766,108.98745
60.4,80.33379,14.390446,52.128517,108.53907
60.4,80.68098,14.418377,52.42096,108.940994
60.4,80.68973,14.419608,52.427296,108.95216
60.4,81.46373,14.482096,53.07882,109.84864
60.4,81.3174,14.469412,52.95735,109.677444
60.4,81.24726,14.464635,52.896576,109.597946
60.4,81.585464,14.492364,53.18043,109.99049
60.4,81.18705,14.459642,52.84615,109.527954
60.4,81.416824,14.478671,53.038628,109.79502
60.4,81.27184,14.466532,52.917442,109.62624
60.4,81.519806,14.486898,53.125484,109.91412
60.4,80.65979,14.417139,52.4022,108.91738
60.4,81.4868,14.484378,53.09742,109.87618
60.4,81.42797,14.479554,53.048042,109.8079
60.4,81.234764,14.463198,52.886894,109.582634
50.0,75.62838,13.996888,48.19448,103.06228
