true,predicted,predicted_std,lower_95CI,upper_95CI
2.4525,2.1547391,0.29159382,1.5832152,2.726263
2.4525,2.0911865,0.2699724,1.5620406,2.6203325
2.4525,2.0296166,0.2757198,1.4892058,2.5700274
2.4525,2.1124935,0.27522492,1.5730526,2.6519344
2.4525,2.0996356,0.2841838,1.5426353,2.6566358
2.4525,2.103063,0.2763376,1.5614414,2.6446848
2.4525,2.0314622,0.27326688,1.4958591,2.5670652
2.4525,2.102872,0.27295977,1.5678707,2.6378732
2.4525,2.060417,0.26668245,1.5377192,2.5831146
2.4525,2.2383645,0.34386528,1.5643885,2.9123404
2.4525,2.1700196,0.27072552,1.6393976,2.7006416
2.4525,2.1687155,0.25356537,1.6717273,2.6657035
2.4525,2.119573,0.27250698,1.5854595,2.6536868
2.4525,2.1338956,0.25469813,1.6346873,2.6331038
2.4525,2.150814,0.2737676,1.6142296,2.6873984
2.4525,2.1482034,0.25766182,1.6431862,2.6532207
2.4525,2.1746345,0.2690129,1.6473691,2.7018998
2.4525,2.1607208,0.25492766,1.6610626,2.660379
2.4525,2.2232637,0.28894773,1.6569262,2.7896013
2.4525,2.4849846,0.36333767,1.7728429,3.1971264
2.853,2.4037428,0.27661863,1.8615702,2.9459152
2.853,2.39078,0.2762338,1.8493617,2.9321983
2.853,2.362284,0.28059554,1.8123167,2.9122512
2.853,2.3797994,0.28033763,1.8303375,2.9292612
2.853,2.4032862,0.27814773,1.8581166,2.9484558
2.853,2.3459973,0.28170526,1.793855,2.8981397
2.853,2.3814945,0.29484132,1.8036056,2.9593835
2.853,2.3981974,0.278696,1.8519533,2.9444416
2.853,2.5004022,0.28960177,1.9327826,3.0680218
2.853,2.4659805,0.32054442,1.8377135,3.0942476
2.853,2.4702868,0.28666157,1.9084301,3.0321436
2.853,2.531932,0.27760735,1.9878217,3.0760427
2.853,2.458365,0.29008448,1.8897994,3.0269306
2.853,2.5033839,0.27851227,1.9574997,3.049268
2.853,2.4709842,0.28949493,1.9035742,3.0383942
2.853,2.5163848,0.28211164,1.963446,3.0693235
2.853,2.392908,0.2792952,1.8454895,2.9403267
2.853,2.5159025,0.27743766,1.9721247,3.0596805
2.853,2.5047047,0.27873674,1.9583807,3.0510287
2.853,2.4596813,0.30106467,1.8695946,3.049768
2.878,1.678274,0.23996334,1.2079458,2.1486022
2.878,1.8088832,0.25890407,1.3014312,2.3163352
2.878,1.744591,0.25801072,1.2388899,2.250292
2.878,1.8621632,0.28249428,1.3084744,2.415852
2.878,1.7140895,0.24688414,1.2301966,2.1979823
2.878,1.8540766,0.2845638,1.2963315,2.4118218
2.878,1.6840419,0.23300631,1.2273495,2.1407342
2.878,1.8716537,0.27848983,1.3258135,2.4174938
2.878,1.742416,0.29538393,1.1634636,2.3213685
2.878,1.8213584,0.27194285,1.2883505,2.3543663
2.878,1.8882968,0.23712179,1.4235381,2.3530555
2.878,2.0910654,0.27219456,1.557564,2.6245668
2.878,1.7801025,0.2253334,1.338449,2.221756
2.878,1.9091079,0.258602,1.402248,2.415968
2.878,1.841001,0.23172049,1.3868289,2.2951732
2.878,2.042643,0.27121797,1.5110558,2.5742302
2.878,2.006865,0.263924,1.489574,2.524156
2.878,2.018921,0.26871112,1.4922471,2.5455947
2.878,2.0647917,0.29843694,1.4798553,2.649728
2.878,2.1873002,0.30404517,1.5913717,2.7832289
3.1015,2.1057906,0.253343,1.6092384,2.6023428
3.1015,2.1286922,0.25231683,1.6341512,2.623233
3.1015,2.0653362,0.25290656,1.5696393,2.561033
3.1015,2.074651,0.24844196,1.5877048,2.5615973
3.1015,2.0957236,0.2531112,1.5996256,2.5918217
3.1015,2.1253114,0.2566785,1.6222215,2.6284013
3.1015,2.1477585,0.26399916,1.6303201,2.665197
3.1015,2.1141784,0.25017127,1.6238427,2.6045141
3.1015,1.9422028,0.2603473,1.4319221,2.4524837
3.1015,2.1823542,0.27944636,1.6346393,2.7300692
3.1015,2.0006783,0.26318336,1.484839,2.5165176
3.1015,2.049633,0.26865348,1.5230722,2.5761938
3.1015,1.9113019,0.24670932,1.4277515,2.3948522
3.1015,1.9193494,0.2590311,1.4116485,2.4270504
3.1015,1.964203,0.25520882,1.4639938,2.4644122
3.1015,2.0459938,0.27088287,1.5150633,2.5769243
3.1015,1.9566029,0.26112852,1.4447911,2.4684148
3.1015,2.015903,0.2663766,1.4938048,2.538001
3.1015,2.004672,0.24936873,1.5159093,2.4934347
3.1015,2.1397347,0.30401403,1.5438672,2.7356024
2.5945,2.0208611,0.28064084,1.4708052,2.5709171
2.5945,1.9756432,0.27732816,1.43208,2.5192063
2.5945,1.9403982,0.2605053,1.4298079,2.4509885
2.5945,1.8478884,0.2475562,1.3626782,2.3330984
2.5945,1.9871812,0.2725733,1.4529376,2.5214248
2.5945,1.965434,0.28345835,1.4098556,2.5210123
2.5945,2.0385194,0.2766818,1.496223,2.5808158
2.5945,1.9154788,0.26440814,1.3972389,2.4337187
2.5945,1.8784456,0.23384833,1.4201028,2.3367884
2.5945,1.6829484,0.24410924,1.2044942,2.1614025
2.5945,2.080202,0.26777816,1.555357,2.6050472
2.5945,2.0959895,0.2727734,1.5613536,2.6306252
2.5945,2.0015008,0.25899282,1.4938749,2.5091267
2.5945,2.041516,0.26452827,1.5230407,2.5599914
2.5945,2.0532138,0.2669878,1.5299177,2.57651
2.5945,2.1784554,0.26644385,1.6562254,2.7006853
2.5945,2.0068693,0.27865705,1.4607015,2.5530372
2.5945,2.070776,0.26973775,1.5420899,2.599462
2.5945,1.8553586,0.2453057,1.3745594,2.3361578
2.5945,1.792832,0.27213055,1.2594562,2.3262079
1.833,2.0455241,0.27281857,1.5107996,2.5802486
1.833,1.9955517,0.25891298,1.4880822,2.5030212
1.833,2.0780232,0.2711671,1.5465357,2.6095107
1.833,1.9782844,0.25400397,1.4804366,2.4761322
1.833,2.067109,0.27092507,1.536096,2.5981221
1.833,2.043016,0.26405936,1.5254595,2.5605724
1.833,1.9882224,0.27528688,1.4486601,2.5277846
1.833,1.9950039,0.25753078,1.4902437,2.4997642
1.833,2.0013528,0.26349413,1.4849043,2.5178013
1.833,2.0808015,0.2833722,1.525392,2.636211
1.833,2.081043,0.2662602,1.559173,2.602913
1.833,2.089779,0.25881863,1.5824944,2.5970635
1.833,2.0780416,0.27078837,1.5472963,2.6087868
1.833,2.0736184,0.25964913,1.5647061,2.5825307
1.833,2.081286,0.26976702,1.5525426,2.6100292
1.833,2.1134486,0.2628227,1.5983162,2.628581
1.833,2.0627282,0.2576668,1.5577012,2.5677552
1.833,2.0915608,0.26028648,1.5813993,2.6017222
1.833,1.9442959,0.25349617,1.4474434,2.4411483
1.833,2.0473819,0.26299915,1.5319035,2.5628603
1.938,1.866128,0.22377723,1.4275246,2.3047314
1.938,1.9277859,0.2386211,1.4600885,2.3954833
1.938,1.7820414,0.20752263,1.3752971,2.1887858
1.938,1.9128054,0.23686773,1.4485447,2.3770661
1.938,1.8322589,0.2168416,1.4072495,2.2572684
1.938,1.8999132,0.23821512,1.4330115,2.3668149
1.938,1.9452829,0.26922998,1.4175922,2.4729738
1.938,1.9128084,0.23376594,1.4546272,2.3709898
1.938,1.9331079,0.24032195,1.4620768,2.4041388
1.938,1.9373014,0.2572201,1.43315,2.4414527
1.938,2.3434205,0.28129885,1.7920747,2.8947663
1.938,2.423018,0.2957204,1.843406,3.00263
1.938,2.225439,0.28894556,1.6591058,2.7917724
1.938,2.3852594,0.30370554,1.7899965,2.9805222
1.938,2.2979336,0.28404891,1.7411977,2.8546696
1.938,2.411842,0.30653286,1.8110378,3.0126464
1.938,2.3055294,0.28186288,1.7530781,2.8579807
1.938,2.4146695,0.2987516,1.8291163,3.0002227
1.938,2.0801117,0.29877207,1.4945185,2.665705
1.938,2.2179615,0.30036098,1.6292541,2.806669
2.4325,2.0613244,0.26355016,1.544766,2.5778828
2.4325,2.1106248,0.27474532,1.572124,2.6491256
2.4325,2.054874,0.28449985,1.4972541,2.6124938
2.4325,2.0396547,0.27499083,1.5006727,2.5786366
2.4325,2.077208,0.27343082,1.5412836,2.6131325
2.4325,2.0855858,0.2808031,1.5352118,2.6359599
2.4325,2.0527513,0.26579246,1.5317981,2.5737045
2.4325,2.0898888,0.2746609,1.5515535,2.6282241
2.4325,2.0879266,0.25316477,1.5917237,2.5841296
2.4325,2.0702205,0.28348437,1.5145911,2.6258497
2.4325,1.9766924,0.25046405,1.4857829,2.467602
2.4325,2.0715394,0.24900545,1.5834887,2.55959
2.4325,1.9114611,0.24790654,1.4255643,2.397358
2.4325,2.052456,0.25018227,1.5620986,2.542813
2.4325,1.9599171,0.24856566,1.4727284,2.447106
2.4325,2.0153632,0.25208884,1.5212691,2.5094573
2.4325,2.068365,0.24507935,1.5880096,2.5487206
2.4325,2.073718,0.24980761,1.5840951,2.563341
2.4325,2.0283322,0.26315087,1.5125566,2.544108
2.4325,2.2166414,0.27619642,1.6752964,2.7579865
2.648,2.008569,0.26613137,1.4869516,2.5301864
2.648,1.8880597,0.26463485,1.3693755,2.406744
2.648,2.0167484,0.2672493,1.4929398,2.540557
2.648,1.8733678,0.25086287,1.3816766,2.365059
2.648,2.0130916,0.26600695,1.4917179,2.5344653
2.648,1.9015944,0.2613258,1.3893958,2.413793
2.648,1.9749465,0.2734209,1.4390415,2.5108514
2.648,1.8533957,0.25196534,1.3595436,2.3472478
2.648,2.0945778,0.27384484,1.5578419,2.6313138
2.648,2.001244,0.2908854,1.4311087,2.5713794
2.648,2.13682,0.2630993,1.6211455,2.6524947
2.648,2.054245,0.2591856,1.5462412,2.5622487
2.648,2.1208332,0.2720845,1.5875475,2.6541188
2.648,2.0398169,0.27178457,1.507119,2.5725145
2.648,2.1295042,0.26432538,1.6114265,2.647582
2.648,1.938061,0.27281192,1.4033496,2.4727724
2.648,2.079382,0.27103156,1.5481601,2.6106038
2.648,2.0564697,0.26494402,1.5371795,2.57576
2.648,2.1122046,0.26963305,1.5837238,2.6406853
2.648,1.9947144,0.3020101,1.4027746,2.5866542
2.5045,1.9469764,0.2600564,1.4372659,2.456687
2.5045,1.9312294,0.24391562,1.4531548,2.409304
2.5045,1.9286077,0.24988712,1.438829,2.4183865
2.5045,1.9036572,0.24126935,1.4307692,2.3765452
2.5045,1.9472477,0.25454327,1.4483429,2.4461527
2.5045,1.8985804,0.24707814,1.4143072,2.3828535
2.5045,1.9300795,0.24753551,1.4449098,2.415249
2.5045,1.9327291,0.24489102,1.4527427,2.4127154
2.5045,2.0318077,0.26381603,1.5147283,2.548887
2.5045,1.9907665,0.28707367,1.4281021,2.553431
2.5045,1.9658632,0.24947444,1.4768933,2.454833
2.5045,1.9222827,0.23469786,1.4622749,2.3822906
2.5045,1.9319307,0.24028444,1.4609731,2.4028883
2.5045,1.9040164,0.23706058,1.4393777,2.3686552
2.5045,1.9555378,0.24530773,1.4747347,2.436341
2.5045,1.9037974,0.24196607,1.4295439,2.3780508
2.5045,1.9893029,0.24559382,1.507939,2.470667
2.5045,1.918725,0.23575772,1.4566399,2.3808103
2.5045,2.0268157,0.24763902,1.5414431,2.5121882
