true,predicted,predicted_std,lower_95CI,upper_95CI
51.0,47.613224,4.6314206,38.53564,56.690807
51.0,48.227707,4.6172504,39.177895,57.27752
51.0,48.096363,4.6217947,39.037643,57.155083
51.0,48.383774,4.6160245,39.336365,57.431183
51.0,47.80419,4.628205,38.73291,56.875473
51.0,48.411842,4.616221,39.364048,57.459637
51.0,48.240204,4.613726,39.1973,57.283108
51.0,48.47989,4.6169147,39.430737,57.52904
51.0,47.84957,4.6317277,38.771385,56.927757
51.0,48.850174,4.640627,39.754547,57.9458
51.0,48.704643,4.6359124,39.618256,57.79103
51.0,48.67526,4.6281247,39.604134,57.746384
51.0,48.945354,4.631496,39.867622,58.023087
51.0,48.65416,4.622684,39.593697,57.714622
51.0,48.85109,4.6342645,39.76793,57.93425
51.0,48.363754,4.6224008,39.30385,57.42366
51.0,47.943146,4.624768,38.8786,57.00769
51.0,48.676163,4.624963,39.611237,57.74109
51.0,48.65452,4.633688,39.57249,57.736546
51.0,48.12196,4.6476636,39.01254,57.23138
52.2,49.02665,4.69174,39.83084,58.222458
52.2,49.77288,4.671135,40.617455,58.928307
52.2,49.169685,4.6798277,39.997223,58.342148
52.2,50.00474,4.666786,40.85784,59.15164
52.2,49.160736,4.686911,39.97439,58.347084
52.2,50.117462,4.6686463,40.966915,59.26801
52.2,49.90361,4.6658835,40.758476,59.048744
52.2,49.912334,4.6696672,40.75979,59.06488
52.2,49.766357,4.6752753,40.602818,58.929897
52.2,50.501335,4.68882,41.31125,59.69142
52.2,50.39393,4.675372,41.230198,59.55766
52.2,50.284096,4.67822,41.114784,59.453407
52.2,50.80394,4.6751237,41.640697,59.967182
52.2,50.184753,4.674963,41.021828,59.34768
52.2,50.72065,4.6747627,41.558113,59.883186
52.2,49.836613,4.675243,40.673138,59.000088
52.2,50.335445,4.672663,41.177025,59.493866
52.2,50.22441,4.675457,41.060516,59.388306
52.2,50.17668,4.6763506,41.011032,59.34233
52.2,51.17765,4.677581,42.00959,60.34571
48.4,47.409637,4.6181726,38.358017,56.461258
48.4,47.891655,4.60175,38.872223,56.911087
48.4,46.968346,4.626919,37.899586,56.037106
48.4,47.72436,4.6147137,38.679523,56.7692
48.4,47.117653,4.622204,38.058132,56.177174
48.4,47.702812,4.611552,38.66417,56.741455
48.4,48.75837,4.608034,39.726624,57.790115
48.4,47.757984,4.6079793,38.726345,56.789623
48.4,45.86396,4.6094503,36.829437,54.898483
48.4,49.9695,4.643223,40.868786,59.070217
48.4,47.356953,4.6262956,38.289413,56.42449
48.4,49.106346,4.6185684,40.05395,58.15874
48.4,47.183533,4.6355367,38.09788,56.269184
48.4,49.096207,4.623359,40.034424,58.15799
48.4,47.144337,4.629809,38.069912,56.21876
48.4,49.265507,4.6241665,40.20214,58.328873
48.4,49.373455,4.6351056,40.288647,58.458263
48.4,49.01206,4.617856,39.96106,58.063057
48.4,46.331024,4.634862,37.246696,55.41535
48.4,50.12709,4.6517706,41.00962,59.24456
52.1,49.99354,4.6386156,40.901855,59.085228
52.1,50.0367,4.6254153,40.970886,59.102516
52.1,49.24533,4.6210713,40.18803,58.30263
52.1,49.59709,4.608519,40.564392,58.62979
52.1,49.57116,4.6310916,40.49422,58.648098
52.1,50.624195,4.6279593,41.553394,59.694996
52.1,49.7497,4.627039,40.680702,58.818695
52.1,49.83944,4.616002,40.792076,58.886803
52.1,50.235256,4.616313,41.187283,59.28323
52.1,50.148224,4.6466117,41.040863,59.255585
52.1,51.051014,4.6399407,41.95673,60.145298
52.1,50.700825,4.6254845,41.634876,59.766773
52.1,51.172104,4.6338167,42.08982,60.254387
