true,predicted,predicted_std,lower_95CI,upper_95CI
176.0,214.32619,17.796654,179.44475,249.20763
176.0,214.22304,17.792305,179.35013,249.09595
176.0,214.11374,17.787708,179.24983,248.97765
176.0,214.25653,17.793718,179.38084,249.13222
176.0,214.23857,17.792963,179.36436,249.11278
176.0,214.24258,17.793127,179.36806,249.11711
176.0,214.11642,17.78782,179.25229,248.98056
176.0,214.24153,17.793085,179.36708,249.11598
176.0,214.17226,17.790163,179.30353,249.04099
176.0,214.47096,17.802752,179.57758,249.36435
176.0,214.3494,17.797626,179.46605,249.23274
176.0,214.34398,17.797392,179.46109,249.22687
176.0,214.26997,17.794283,179.39317,249.14677
176.0,214.28888,17.795073,179.41054,249.16722
176.0,214.31956,17.79637,179.43867,249.20045
176.0,214.31133,17.796017,179.43114,249.19151
176.0,214.35371,17.797804,179.47002,249.23741
176.0,214.33093,17.796844,179.44911,249.21275
176.0,214.4263,17.800863,179.5366,249.316
176.0,214.7514,17.814568,179.83485,249.66795
176.0,214.69232,17.812054,179.7807,249.60394
176.0,214.66916,17.81108,179.75945,249.57887
176.0,214.63272,17.80955,179.726,249.53944
176.0,214.65376,17.810436,179.7453,249.56223
176.0,214.69167,17.812029,179.78009,249.60324
176.0,214.60715,17.80847,179.70255,249.51175
176.0,214.65984,17.810696,179.75087,249.5688
176.0,214.67949,17.811518,179.76892,249.59006
176.0,214.81522,17.817236,179.89343,249.737
176.0,214.76608,17.815166,179.84836,249.6838
176.0,214.7766,17.815613,179.858,249.69519
176.0,214.84746,17.818596,179.923,249.77191
176.0,214.76096,17.814955,179.84364,249.67827
176.0,214.81517,17.817232,179.8934,249.73694
176.0,214.7776,17.815657,179.85892,249.69629
176.0,214.82957,17.817839,179.90662,249.75253
176.0,214.67361,17.811268,179.76353,249.5837
176.0,214.82877,17.817806,179.90587,249.75166
176.0,214.81685,17.817303,179.89493,249.73877
176.0,214.7642,17.81509,179.84663,249.68178
176.0,213.40785,17.75799,178.60219,248.21352
176.0,213.66705,17.768904,178.84,248.49411
176.0,213.53868,17.7635,178.72223,248.35513
176.0,213.77226,17.773336,178.93652,248.608
176.0,213.47713,17.760912,178.66574,248.28851
176.0,213.75621,17.772663,178.92178,248.59064
176.0,213.41878,17.758451,178.61221,248.22534
176.0,213.79115,17.774134,178.95386,248.62845
176.0,213.5345,17.763334,178.71837,248.35063
176.0,213.69711,17.770172,178.86758,248.52664
176.0,213.82927,17.775726,178.98885,248.6697
176.0,214.19527,17.79114,179.32463,249.0659
176.0,213.60852,17.766436,178.7863,248.43074
176.0,213.86742,17.777338,179.02383,248.711
176.0,213.73401,17.771713,178.90146,248.56656
176.0,214.1099,17.787546,179.2463,248.97348
176.0,214.04541,17.784828,179.18715,248.90367
176.0,214.06654,17.785723,179.20653,248.92656
176.0,214.14955,17.789217,179.28268,249.01642
176.0,214.3532,17.79779,179.46953,249.23686
176.0,214.24544,17.793243,179.37068,249.1202
176.0,214.27905,17.79466,179.40152,249.15659
176.0,214.17702,17.790363,179.3079,249.04613
176.0,214.18944,17.79089,179.31929,249.05959
176.0,214.22743,17.792486,179.35416,249.10071
176.0,214.27473,17.794477,179.39755,249.15192
176.0,214.30908,17.795925,179.42908,249.18909
176.0,214.2539,17.793598,179.37845,249.12936
176.0,213.95366,17.780966,179.10297,248.80435
176.0,214.3699,17.798481,179.48488,249.25493
176.0,214.05992,17.785435,179.20047,248.91937
176.0,214.14929,17.7892,179.28246,249.01613
176.0,213.89465,17.778477,179.04884,248.74046
176.0,213.9097,17.779118,179.06262,248.75677
176.0,213.9929,17.782614,179.13898,248.84683
176.0,214.14413,17.788979,179.27774,249.01053
176.0,213.98024,17.782085,179.12735,248.83313
176.0,214.08714,17.786583,179.22543,248.94885
176.0,214.06758,17.785757,179.20749,248.92767
176.0,214.30959,17.79595,179.42952,249.18965
176.0,214.09853,17.787064,179.23589,248.96117
176.0,214.01942,17.783733,179.1633,248.87555
176.0,213.9523,17.780905,179.10173,248.80287
176.0,213.77663,17.77351,178.94055,248.6127
176.0,214.03714,17.784481,179.17957,248.89471
176.0,213.99712,17.782797,179.14284,248.8514
176.0,214.13728,17.78869,179.27145,249.00311
176.0,213.9094,17.7791,179.06235,248.75644
176.0,213.83644,17.776022,178.99544,248.67744
176.0,213.45314,17.759892,178.64375,248.26253
176.0,214.20992,17.791748,179.33809,249.08174
176.0,214.23833,17.792946,179.36415,249.1125
176.0,214.07048,17.78588,179.21016,248.9308
176.0,214.14305,17.788933,179.27673,249.00937
176.0,214.16176,17.789722,179.2939,249.02962
176.0,214.36748,17.79838,179.48265,249.2523
176.0,214.07909,17.786243,179.21805,248.94012
176.0,214.19493,17.791117,179.32434,249.06552
176.0,213.7906,17.7741,178.95337,248.62784
176.0,213.66875,17.768972,178.84155,248.49594
176.0,214.11247,17.787647,179.24869,248.97626
176.0,214.02507,17.783968,179.16849,248.88165
176.0,214.1697,17.790056,179.30118,249.03821
176.0,213.99266,17.782602,179.13876,248.84656
176.0,214.1504,17.789248,179.28348,249.01733
176.0,214.111,17.787588,179.24731,248.97467
176.0,214.01039,17.783352,179.15503,248.86575
176.0,214.02309,17.783888,179.16666,248.87952
176.0,214.03453,17.784367,179.17717,248.89189
176.0,214.18314,17.790627,179.3135,249.05276
176.0,214.1837,17.790646,179.31403,249.05338
176.0,214.19176,17.790981,179.32144,249.06207
176.0,214.17674,17.790354,179.30765,249.04584
176.0,214.16454,17.789837,179.29645,249.03262
176.0,214.18196,17.790575,179.31244,249.05148
176.0,214.22806,17.792513,179.35474,249.10138
176.0,214.14969,17.789213,179.28284,249.01654
176.0,214.19298,17.791037,179.32254,249.06342
176.0,213.93912,17.780342,179.08965,248.78859
176.0,214.13461,17.788576,179.26901,249.00021
176.0,213.80565,17.774725,178.9672,248.6441
176.0,213.92827,17.779888,179.07968,248.77686
176.0,213.63269,17.767443,178.8085,248.45688
176.0,213.8984,17.778635,179.05228,248.74454
176.0,213.73756,17.771862,178.90471,248.57042
176.0,213.87338,17.777578,179.02933,248.71744
176.0,213.96344,17.781372,179.11195,248.81493
176.0,213.89967,17.778685,179.05345,248.7459
176.0,213.94453,17.780571,179.09462,248.79445
176.0,213.94615,17.780643,179.09608,248.79622
176.0,214.60643,17.808445,179.70187,249.51099
176.0,214.71867,17.813175,179.80486,249.63249
176.0,214.43486,17.80122,179.54446,249.32526
176.0,214.67058,17.81115,179.76073,249.58043
176.0,214.5396,17.80563,179.64056,249.43863
176.0,214.69862,17.81233,179.78645,249.6108
176.0,214.55106,17.806114,179.65106,249.45105
176.0,214.70805,17.812729,179.7951,249.621
176.0,214.20543,17.79157,179.33395,249.0769
176.0,214.42702,17.800892,179.53726,249.31677
176.0,214.16747,17.789965,179.29913,249.0358
176.0,214.25014,17.793446,179.37498,249.12529
176.0,214.15193,17.789314,179.28488,249.01898
176.0,214.12589,17.788218,179.26099,248.99078
176.0,214.19383,17.791075,179.32333,249.06433
176.0,214.20726,17.791643,179.33563,249.07889
176.0,214.1508,17.78926,179.28384,249.01776
176.0,214.21616,17.792017,179.34381,249.0885
176.0,214.2138,17.791916,179.34164,249.08597
176.0,214.18782,17.790825,179.31781,249.05783
176.0,214.01602,17.783587,179.16019,248.87186
176.0,214.18712,17.79079,179.31717,249.05707
176.0,213.89442,17.77847,179.04863,248.74022
176.0,214.15517,17.789442,179.28786,249.02248
176.0,213.98448,17.782259,179.13126,248.8377
176.0,214.08778,17.786608,179.22603,248.94954
176.0,214.18231,17.790583,179.31277,249.05185
176.0,214.1902,17.790918,179.32,249.0604
176.0,214.10786,17.787457,179.24445,248.97128
176.0,214.41518,17.800392,179.5264,249.30396
176.0,214.06284,17.785563,179.20312,248.92255
176.0,213.8379,17.776094,178.99677,248.67905
176.0,214.07497,17.78607,179.21426,248.93567
176.0,213.80852,17.774853,178.9698,248.64723
176.0,214.07002,17.785862,179.20973,248.93031
176.0,213.86618,17.777287,179.0227,248.70966
176.0,213.9995,17.782896,179.14502,248.85397
176.0,213.76878,17.773184,178.93335,248.60422
176.0,214.21722,17.792059,179.34479,249.08966
176.0,214.04924,17.784988,179.19066,248.90782
176.0,214.2852,17.794918,179.40717,249.16324
176.0,214.1483,17.789158,179.28156,249.01505
176.0,214.2596,17.79384,179.38367,249.13553
176.0,214.1194,17.787945,179.25504,248.98376
176.0,214.27278,17.794397,179.39577,249.1498
176.0,213.93233,17.780071,179.08339,248.78127
176.0,214.19188,17.790995,179.32153,249.06223
176.0,214.15031,17.789242,179.2834,249.01723
176.0,214.25134,17.793493,179.3761,249.12659
176.0,214.0407,17.784634,179.18282,248.89857
176.0,213.95589,17.78106,179.10501,248.80676
176.0,213.92839,17.779902,179.07979,248.777
176.0,213.92271,17.77966,179.07458,248.77084
176.0,213.87508,17.777655,179.03087,248.71928
176.0,213.95657,17.781088,179.10564,248.80751
176.0,213.86632,17.777287,179.02283,248.70981
176.0,213.92693,17.779837,179.07845,248.7754
176.0,213.93071,17.779999,179.08191,248.77951
176.0,214.1093,17.787518,179.24576,248.97284
176.0,214.03003,17.784184,179.17303,248.88702
176.0,213.99301,17.78262,179.13907,248.84695
176.0,213.91316,17.779257,179.06583,248.7605
176.0,213.93196,17.78005,179.08307,248.78085
176.0,213.87704,17.777735,179.03268,248.7214
176.0,213.9742,17.781826,179.12183,248.82657
176.0,213.87746,17.777758,179.03305,248.72186
176.0,214.03584,17.78442,179.17838,248.89331
176.0,213.90587,17.778948,179.05913,248.75261
176.0,214.10194,17.787203,179.23903,248.96486
176.0,213.91609,17.779385,179.0685,248.76369
176.0,211.9464,17.696373,177.2615,246.63129
176.0,211.98111,17.697836,177.29335,246.66887
176.0,211.95267,17.696634,177.26726,246.63808
176.0,211.94069,17.696133,177.25627,246.6251
176.0,211.94952,17.696505,177.26437,246.63467
176.0,211.93193,17.69576,177.24823,246.61563
176.0,211.85735,17.69261,177.17982,246.53487
176.0,211.96674,17.69723,177.28017,246.6533
176.0,212.07234,17.701685,177.37704,246.76764
176.0,211.96928,17.697334,177.2825,246.65607
176.0,212.13792,17.704458,177.4372,246.83865
176.0,212.1409,17.70458,177.43993,246.84187
176.0,212.09285,17.702555,177.39584,246.78986
176.0,212.07939,17.70199,177.38348,246.7753
176.0,212.1191,17.70366,177.41992,246.81827
176.0,212.09862,17.7028,177.40112,246.79611
176.0,212.05646,17.70102,177.36246,246.75046
176.0,212.1122,17.70337,177.41359,246.8108
176.0,212.06728,17.701475,177.37238,246.76218
176.0,212.21744,17.707811,177.51013,246.92474
176.0,214.67108,17.811176,179.76117,249.581
176.0,214.73244,17.813753,179.81747,249.6474
176.0,214.62303,17.809153,179.71709,249.52898
176.0,214.7416,17.814144,179.82587,249.65732
176.0,214.66975,17.81112,179.75996,249.57954
176.0,214.69623,17.812227,179.78427,249.60818
176.0,214.8337,17.818022,179.91037,249.75702
176.0,214.74654,17.814348,179.83041,249.66266
176.0,214.73463,17.81385,179.81949,249.64978
176.0,214.854,17.818893,179.92897,249.77904
176.0,214.81438,17.817205,179.89265,249.7361
176.0,214.79079,17.816212,179.871,249.71057
176.0,214.66496,17.810911,179.75558,249.57434
176.0,214.58556,17.80757,179.68272,249.48839
176.0,214.75215,17.814587,179.83556,249.66875
176.0,214.70857,17.812746,179.7956,249.62155
176.0,214.74844,17.814428,179.83217,249.66472
176.0,214.70538,17.812614,179.79266,249.6181
176.0,214.74117,17.814117,179.8255,249.65683
176.0,214.6107,17.808628,179.7058,249.51561
176.0,212.41054,17.71596,177.68726,247.13382
176.0,212.34615,17.71324,177.6282,247.06409
176.0,212.38953,17.715073,177.66798,247.11107
176.0,212.28285,17.710571,177.57013,246.99557
176.0,212.3856,17.714909,177.66438,247.10683
176.0,212.32399,17.712307,177.60786,247.04012
176.0,212.39433,17.715271,177.6724,247.11627
176.0,212.31902,17.7121,177.6033,247.03473
176.0,212.59077,17.723557,177.8526,247.32895
176.0,212.10533,17.703074,177.4073,246.80336
176.0,212.50578,17.719982,177.77461,247.23695
176.0,212.4298,17.716774,177.70493,247.15466
176.0,212.48112,17.718939,177.752,247.21025
176.0,212.35982,17.713823,177.64072,247.07892
176.0,212.4717,17.718544,177.74335,247.20004
176.0,212.32892,17.712519,177.61238,247.04546
176.0,212.55704,17.722145,177.82162,247.29245
176.0,212.38834,17.715027,177.66689,247.10979
176.0,212.58821,17.723455,177.85023,247.32619
176.0,212.20705,17.70737,177.5006,246.9135
176.0,212.68898,17.72769,177.9427,247.43526
176.0,212.73578,17.729664,177.98564,247.48592
176.0,212.59297,17.72364,177.85464,247.3313
176.0,212.80125,17.732424,178.0457,247.55681
176.0,212.68224,17.727406,177.93652,247.42795
176.0,212.55962,17.722239,177.82404,247.2952
176.0,212.53082,17.721022,177.79762,247.26402
176.0,212.79884,17.732319,178.0435,247.55418
176.0,212.74362,17.729994,177.99283,247.49442
176.0,212.30019,17.711294,177.58604,247.01433
176.0,212.89151,17.736225,178.12851,247.65451
176.0,212.82043,17.733236,178.0633,247.57758
176.0,212.8299,17.733633,178.07198,247.58781
176.0,212.61696,17.724659,177.87662,247.3573
176.0,212.87032,17.735336,178.10905,247.63158
176.0,212.60272,17.724054,177.86357,247.34187
176.0,212.6855,17.72755,177.9395,247.4315
176.0,212.73277,17.72954,177.98288,247.48267
176.0,212.60405,17.724113,177.86479,247.3433
176.0,212.2119,17.707565,177.50507,246.91873
176.0,211.66292,17.684391,177.00151,246.32433
176.0,211.70168,17.686026,177.03706,246.36629
176.0,211.66093,17.684298,176.99971,246.32216
176.0,211.68793,17.685448,177.02444,246.35141
176.0,211.65709,17.684137,176.99619,246.318
176.0,211.65533,17.684065,176.99457,246.3161
176.0,211.73305,17.687346,177.06586,246.40024
176.0,211.68846,17.685465,177.02495,246.35197
176.0,211.77931,17.689302,177.10828,246.45035
176.0,211.7942,17.689922,177.12195,246.46646
176.0,211.49269,17.677195,176.8454,246.13998
176.0,211.61082,17.682186,176.95374,246.26791
176.0,211.47899,17.676613,176.83282,246.12515
176.0,211.60962,17.682129,176.95264,246.2666
176.0,211.47102,17.67628,176.82552,246.11653
176.0,211.61809,17.682487,176.96042,246.27576
176.0,211.6739,17.684849,177.0116,246.33621
176.0,211.60509,17.68194,176.94849,246.26169
176.0,211.54066,17.679214,176.8894,246.19193
176.0,211.66093,17.68429,176.99973,246.32214
176.0,211.24474,17.666754,176.61789,245.87158
176.0,211.32495,17.67014,176.69148,245.95842
176.0,211.24516,17.66677,176.61829,245.87204
176.0,211.27522,17.668037,176.64587,245.90457
176.0,211.21487,17.665491,176.59052,245.83923
176.0,211.39145,17.67295,176.75247,246.03043
176.0,211.25298,17.667095,176.62547,245.88048
176.0,211.30278,17.669207,176.67114,245.93442
176.0,211.03922,17.658058,176.42941,245.64902
176.0,211.29076,17.668688,176.66013,245.92139
176.0,211.60335,17.681898,176.94682,246.25987
176.0,211.41917,17.674122,176.7779,246.06046
176.0,211.47835,17.676617,176.83218,246.12451
176.0,211.33626,17.670616,176.70184,245.97067
176.0,211.54727,17.67953,176.89539,246.19916
176.0,211.2068,17.665154,176.5831,245.8305
176.0,211.6744,17.684896,177.012,246.33679
176.0,211.36845,17.671982,176.73137,246.00554
176.0,211.52159,17.678429,176.87187,246.17131
176.0,211.35231,17.671286,176.71658,245.98804
176.0,211.76299,17.688633,177.09326,246.43271
176.0,211.71422,17.686573,177.04854,246.3799
176.0,211.75688,17.688372,177.08768,246.42609
176.0,211.74518,17.687881,177.07693,246.41342
176.0,211.76097,17.688547,177.09142,246.43053
176.0,211.77965,17.689337,177.10855,246.45074
176.0,211.64403,17.68361,176.98415,246.30391
176.0,211.7311,17.687286,177.06401,246.39818
176.0,211.42715,17.674442,176.78525,246.06906
176.0,211.6797,17.685106,177.01689,246.34251
176.0,211.61134,17.68223,176.95416,246.26852
176.0,211.61177,17.68225,176.95456,246.26898
176.0,211.49165,17.677174,176.84439,246.13892
176.0,211.47614,17.67652,176.83015,246.12212
176.0,211.55824,17.679989,176.90546,246.21103
176.0,211.63277,17.683138,176.97382,246.29172
176.0,211.54149,17.679272,176.8901,246.19287
176.0,211.53668,17.679077,176.88568,246.18768
176.0,211.84697,17.692165,177.17032,246.52362
176.0,211.62666,17.682867,176.96825,246.28508
176.0,213.00606,17.741058,178.23358,247.77853
176.0,213.12814,17.746202,178.34558,247.9107
176.0,213.07092,17.743795,178.29309,247.84875
176.0,213.27603,17.752432,178.48126,248.0708
176.0,212.99529,17.74061,178.2237,247.76688
176.0,213.05522,17.743132,178.27869,247.83176
176.0,213.05025,17.74292,178.27412,247.82637
176.0,213.1617,17.747616,178.37637,247.94702
176.0,213.51628,17.76255,178.70169,248.33087
176.0,212.83955,17.734047,178.08083,247.59828
176.0,213.50159,17.761932,178.6882,248.31497
176.0,213.20238,17.74933,178.4137,247.99106
176.0,213.24776,17.751247,178.4553,248.0402
176.0,213.28365,17.752758,178.48824,248.07906
176.0,213.34535,17.755354,178.54486,248.14584
176.0,213.21095,17.749695,178.42155,248.00035
176.0,213.18504,17.748598,178.3978,247.97229
176.0,213.15572,17.747366,178.37088,247.94055
176.0,212.96574,17.739363,178.1966,247.7349
176.0,213.48973,17.761442,178.6773,248.30215
176.0,212.78416,17.731718,178.03,247.53833
176.0,212.84499,17.73428,178.0858,247.60417
176.0,212.84192,17.734154,178.08298,247.60086
176.0,212.8358,17.73389,178.07738,247.59422
176.0,212.7889,17.731913,178.03435,247.54344
176.0,212.87563,17.73557,178.1139,247.63734
176.0,212.78035,17.731554,178.0265,247.5342
176.0,212.8288,17.733599,178.07094,247.58665
176.0,212.85966,17.734898,178.09927,247.62006
176.0,212.76306,17.730822,178.01065,247.51547
176.0,212.7761,17.731375,178.0226,247.52959
176.0,212.8149,17.733007,178.0582,247.5716
176.0,212.7404,17.729876,177.98984,247.49097
176.0,212.78983,17.731955,178.03519,247.54446
176.0,212.74849,17.730213,177.99727,247.49971
176.0,212.77147,17.731182,178.01836,247.52458
176.0,212.81403,17.732973,178.0574,247.57065
176.0,212.7878,17.731865,178.03334,247.54225
176.0,212.81398,17.732965,178.05737,247.57059
176.0,212.79523,17.73217,178.04018,247.55028
176.0,213.14288,17.746817,178.35913,247.92664
176.0,213.14273,17.746813,178.35898,247.92648
176.0,213.25146,17.75139,178.45874,248.04419
176.0,213.47183,17.760675,178.6609,248.28276
176.0,213.19708,17.749102,178.40884,247.98532
176.0,213.30309,17.75357,178.50609,248.10008
176.0,213.6438,17.767904,178.81871,248.46889
176.0,213.30598,17.75369,178.50876,248.10321
176.0,213.7104,17.77071,178.8798,248.541
176.0,214.4344,17.801203,179.54404,249.32477
176.0,213.88708,17.77816,179.04189,248.73228
176.0,213.86205,17.777096,179.01894,248.70515
176.0,214.26985,17.79427,179.39308,249.14662
176.0,213.99344,17.78262,179.1395,248.84738
176.0,213.97795,17.781979,179.12527,248.83063
176.0,214.11253,17.787653,179.24873,248.97633
176.0,214.28168,17.794748,179.40396,249.1594
176.0,213.83485,17.775946,178.994,248.6757
176.0,213.53596,17.763365,178.71977,248.35216
176.0,214.25168,17.7935,179.37642,249.12694
181.0,214.57408,17.807095,179.67218,249.47598
181.0,214.7125,17.812916,179.79918,249.62581
181.0,214.19588,17.791168,179.3252,249.06656
181.0,214.65341,17.810429,179.74496,249.56186
181.0,214.38914,17.799305,179.5025,249.27579
181.0,214.68161,17.811617,179.77084,249.59238
181.0,214.66895,17.811077,179.75923,249.57866
181.0,214.68608,17.811804,179.77495,249.59721
181.0,214.49706,17.803843,179.60153,249.39258
181.0,214.18526,17.790714,179.31546,249.05505
181.0,214.42229,17.800694,179.53293,249.31165
181.0,214.31416,17.796137,179.43373,249.1946
181.0,214.32631,17.796654,179.44487,249.20775
181.0,214.36101,17.79811,179.47672,249.2453
181.0,214.35257,17.797762,179.46896,249.23618
181.0,214.2624,17.79396,179.38625,249.13857
181.0,214.30028,17.795551,179.42099,249.17957
181.0,214.3296,17.79679,179.4479,249.2113
181.0,214.60316,17.808323,179.69885,249.50748
181.0,214.13672,17.788671,179.27092,249.00252
181.0,214.61732,17.808899,179.71188,249.52277
181.0,214.75056,17.814508,179.83412,249.667
181.0,214.43205,17.801098,179.5419,249.3222
181.0,214.65413,17.810448,179.74565,249.5626
181.0,214.51414,17.804556,179.61722,249.41107
181.0,214.69939,17.81236,179.78716,249.61162
181.0,214.72105,17.813269,179.80704,249.63507
181.0,214.69965,17.812365,179.78741,249.61188
181.0,214.87071,17.819576,179.94434,249.79709
181.0,214.9536,17.823082,180.02036,249.88684
181.0,214.6888,17.81191,179.77745,249.60014
181.0,214.75774,17.814816,179.8407,249.67477
181.0,214.60579,17.808414,179.7013,249.51028
181.0,214.58449,17.807516,179.68176,249.48721
181.0,214.68294,17.811665,179.77208,249.5938
181.0,214.7599,17.814909,179.84268,249.67712
181.0,214.61018,17.808598,179.70534,249.51503
181.0,214.68466,17.811737,179.77365,249.59567
181.0,214.97517,17.823975,180.04019,249.91016
181.0,214.7558,17.81474,179.83891,249.67268
181.0,214.06453,17.78563,179.2047,248.92436
181.0,213.95128,17.780867,179.10078,248.80177
181.0,214.01352,17.783484,179.1579,248.86914
181.0,213.71573,17.770952,178.88466,248.5468
181.0,214.01682,17.783625,179.16092,248.87271
181.0,213.9481,17.780733,179.09787,248.79834
