DataKey,true_Height,predicted_Height,predicted_std_Height
202404251118_1,56.1,54.561985,1.846593
202404251118_1,56.1,53.460506,1.8297112
202404251118_1,56.1,54.160297,1.8372682
202404251118_1,56.1,53.29086,1.8227524
202404251118_1,56.1,54.005264,1.837023
202404251118_1,56.1,54.04298,1.8280712
202404251118_1,56.1,55.003525,1.8487629
202404251118_1,56.1,53.288773,1.8259039
202404251118_1,56.1,57.318665,1.882529
202404251118_1,56.1,54.666283,1.8430635
202404251118_1,56.1,52.91878,1.8127764
202404251118_1,56.1,54.614574,1.8433939
202404251118_1,56.1,53.26573,1.8202215
202404251118_1,56.1,54.295166,1.8397632
202404251118_1,56.1,52.60801,1.8090973
202404251118_1,56.1,54.44041,1.8379713
202404251118_1,56.1,54.623493,1.8415097
202404251118_1,56.1,54.18501,1.8373796
202404251118_1,56.1,60.68644,1.9432223
202404251118_1,56.1,56.46539,1.8622305
202404251118_10,53.4,51.370285,1.7856476
202404251118_10,53.4,51.02369,1.7807664
202404251118_10,53.4,51.361732,1.7844453
202404251118_10,53.4,50.92304,1.7787356
202404251118_10,53.4,51.242012,1.7832108
202404251118_10,53.4,51.405464,1.7826457
202404251118_10,53.4,50.96562,1.7802126
202404251118_10,53.4,50.857887,1.7781099
202404251118_10,53.4,51.596764,1.7878515
202404251118_10,53.4,52.487694,1.7981131
202404251118_10,53.4,52.40357,1.7980075
202404251118_10,53.4,51.992466,1.7916415
202404251118_10,53.4,51.512928,1.7851322
202404251118_10,53.4,51.612606,1.7863334
202404251118_10,53.4,52.05249,1.7930974
202404251118_10,53.4,52.754063,1.8005803
202404251118_10,53.4,51.72727,1.7889472
202404251118_10,53.4,51.65471,1.7865918
202404251118_10,53.4,51.006397,1.7747675
202404251118_10,53.4,52.842728,1.8090651
202404251118_102,57.2,58.633984,1.8950089
202404251118_102,57.2,58.74246,1.894223
202404251118_102,57.2,57.515064,1.8764057
202404251118_102,57.2,57.49042,1.8726318
202404251118_102,57.2,57.91136,1.8827101
202404251118_102,57.2,58.660717,1.8889487
202404251118_102,57.2,58.45593,1.8885186
202404251118_102,57.2,57.95641,1.880961
202404251118_102,57.2,57.978863,1.884847
202404251118_102,57.2,62.334114,1.9456947
202404251118_102,57.2,56.612083,1.8610939
202404251118_102,57.2,57.290462,1.8707727
202404251118_102,57.2,55.225372,1.8410642
202404251118_102,57.2,56.124744,1.8514714
202404251118_102,57.2,56.102547,1.8534365
202404251118_102,57.2,56.38507,1.8533975
202404251118_102,57.2,57.58861,1.8751664
202404251118_102,57.2,56.577015,1.8589964
202404251118_102,57.2,57.53284,1.8768122
202404251118_102,57.2,58.845547,1.8929336
202404251118_105,59.5,60.077435,1.9210528
202404251118_105,59.5,61.03152,1.9369439
202404251118_105,59.5,59.691963,1.9152417
202404251118_105,59.5,59.545086,1.9122117
202404251118_105,59.5,59.71415,1.9158214
202404251118_105,59.5,59.957497,1.9183391
202404251118_105,59.5,59.98647,1.9228421
202404251118_105,59.5,60.187267,1.9233574
202404251118_105,59.5,59.405563,1.9175155
202404251118_105,59.5,63.59101,1.9786798
202404251118_105,59.5,64.51848,1.9928433
202404251118_105,59.5,62.603683,1.9626787
202404251118_105,59.5,64.67584,1.9956437
202404251118_105,59.5,62.224182,1.9572139
202404251118_105,59.5,64.38271,1.990429
