DataKey,true_LAI,predicted_LAI,predicted_std_LAI
202404251118_1,2.2955,2.140692,0.37452382
202404251118_1,2.2955,2.1673536,0.36857507
202404251118_1,2.2955,2.1513026,0.37991604
202404251118_1,2.2955,2.1844492,0.36789495
202404251118_1,2.2955,2.140525,0.37706137
202404251118_1,2.2955,2.140113,0.37045857
202404251118_1,2.2955,2.1937582,0.37362233
202404251118_1,2.2955,2.1838088,0.36976987
202404251118_1,2.2955,2.1406815,0.3900102
202404251118_1,2.2955,2.325566,0.41118842
202404251118_1,2.2955,2.094932,0.3687497
202404251118_1,2.2955,2.1141703,0.37811902
202404251118_1,2.2955,2.0677993,0.3707318
202404251118_1,2.2955,2.1043162,0.38025552
202404251118_1,2.2955,2.0759447,0.36795887
202404251118_1,2.2955,2.1083941,0.38051042
202404251118_1,2.2955,2.1198606,0.37737498
202404251118_1,2.2955,2.102837,0.37968525
202404251118_1,2.2955,2.1073394,0.37717107
202404251118_1,2.2955,2.4286034,0.4334156
202404251118_10,2.363,2.1504517,0.36075473
202404251118_10,2.363,2.2528753,0.37304258
202404251118_10,2.363,2.1415145,0.3605896
202404251118_10,2.363,2.247836,0.37112036
202404251118_10,2.363,2.152198,0.36007848
202404251118_10,2.363,2.2641006,0.38076282
202404251118_10,2.363,2.2294393,0.374137
202404251118_10,2.363,2.257043,0.37201527
202404251118_10,2.363,2.2387383,0.3747357
202404251118_10,2.363,2.2411695,0.41704917
202404251118_10,2.363,2.2867825,0.36110532
202404251118_10,2.363,2.2556832,0.36169174
202404251118_10,2.363,2.295506,0.36687416
202404251118_10,2.363,2.2731757,0.3650819
202404251118_10,2.363,2.291209,0.36247653
202404251118_10,2.363,2.260543,0.36695847
202404251118_10,2.363,2.2738667,0.36676976
202404251118_10,2.363,2.2644918,0.36305198
202404251118_10,2.363,2.2666845,0.36201358
202404251118_10,2.363,2.3587084,0.4181279
202404251118_102,1.655,1.5719781,0.32860518
202404251118_102,1.655,1.5729146,0.32136193
202404251118_102,1.655,1.5812602,0.34123626
202404251118_102,1.655,1.5539088,0.32283062
202404251118_102,1.655,1.5764117,0.33107248
202404251118_102,1.655,1.581536,0.3245737
202404251118_102,1.655,1.5413122,0.32269463
202404251118_102,1.655,1.5650034,0.3209338
202404251118_102,1.655,1.5626144,0.3270718
202404251118_102,1.655,1.5454352,0.33002505
202404251118_102,1.655,1.5323746,0.3206691
202404251118_102,1.655,1.554745,0.31833112
202404251118_102,1.655,1.5084848,0.32265222
202404251118_102,1.655,1.5335515,0.31586683
202404251118_102,1.655,1.5176103,0.3207087
202404251118_102,1.655,1.5461736,0.31787327
202404251118_102,1.655,1.584312,0.32294136
202404251118_102,1.655,1.5429037,0.31689858
202404251118_102,1.655,1.5762568,0.34282124
202404251118_102,1.655,1.5808005,0.33300468
202404251118_105,2.185,2.2569463,0.3985299
202404251118_105,2.185,2.0914721,0.36380887
202404251118_105,2.185,2.266429,0.399561
202404251118_105,2.185,2.0754855,0.35967538
202404251118_105,2.185,2.2466393,0.39822263
202404251118_105,2.185,2.075891,0.36302042
202404251118_105,2.185,2.101725,0.36573997
202404251118_105,2.185,2.0722845,0.3609814
202404251118_105,2.185,2.2261398,0.4391426
202404251118_105,2.185,2.1607008,0.41487774
202404251118_105,2.185,2.2359962,0.39297515
202404251118_105,2.185,2.174115,0.36939636
202404251118_105,2.185,2.1906369,0.38868657
202404251118_105,2.185,2.1149502,0.3593042
202404251118_105,2.185,2.2110767,0.39170185
202404251118_105,2.185,2.1281614,0.36904594
202404251118_105,2.185,2.1061494,0.35520726
202404251118_105,2.185,2.1413589,0.36458832
202404251118_105,2.185,2.040878,0.38480318
202404251118_105,2.185,2.0467675,0.38953757
202404251118_108,3.585,3.399745,0.52718
202404251118_108,3.585,3.362952,0.52151823
202404251118_108,3.585,3.3947225,0.5236033
202404251118_108,3.585,3.3559437,0.5202606
202404251118_108,3.585,3.4239218,0.52819645
202404251118_108,3.585,3.3528948,0.5157624
202404251118_108,3.585,3.2315452,0.51646006
202404251118_108,3.585,3.3839774,0.5206442
202404251118_108,3.585,3.4883792,0.54163855
202404251118_108,3.585,3.2916472,0.5514827
202404251118_108,3.585,3.3894129,0.5129312
202404251118_108,3.585,3.269496,0.4838094
202404251118_108,3.585,3.3923764,0.51280373
202404251118_108,3.585,3.2130659,0.47984484
202404251118_108,3.585,3.3816023,0.51168627
202404251118_108,3.585,3.2455032,0.48769802
202404251118_108,3.585,3.2412138,0.48417667
202404251118_108,3.585,3.2480888,0.48222023
202404251118_108,3.585,3.2312515,0.47840157
202404251118_108,3.585,3.5918877,0.563303
202404251118_11,3.7015,3.3369176,0.507713
202404251118_11,3.7015,3.3622715,0.5007421
202404251118_11,3.7015,3.3124654,0.50763184
202404251118_11,3.7015,3.3541481,0.5010985
202404251118_11,3.7015,3.3451073,0.5100514
202404251118_11,3.7015,3.4132164,0.51246274
202404251118_11,3.7015,3.313404,0.5000214
202404251118_11,3.7015,3.3760889,0.5023379
202404251118_11,3.7015,3.2640092,0.4920451
202404251118_11,3.7015,3.3094375,0.55723125
202404251118_11,3.7015,3.321867,0.47840515
202404251118_11,3.7015,3.3455017,0.4896582
202404251118_11,3.7015,3.3290193,0.48167127
202404251118_11,3.7015,3.3093047,0.48913267
202404251118_11,3.7015,3.337028,0.48141468
202404251118_11,3.7015,3.270507,0.48901984
202404251118_11,3.7015,3.319976,0.4835231
202404251118_11,3.7015,3.3347812,0.48971358
202404251118_11,3.7015,3.3519464,0.51156104
202404251118_11,3.7015,3.148771,0.47932774
202404251118_111,2.58,2.4664586,0.407577
202404251118_111,2.58,2.372651,0.382103
202404251118_111,2.58,2.4727132,0.4103682
202404251118_111,2.58,2.40016,0.38954103
202404251118_111,2.58,2.4670978,0.4089313
202404251118_111,2.58,2.5379481,0.4025718
202404251118_111,2.58,2.3514686,0.3865178
202404251118_111,2.58,2.388267,0.38549867
202404251118_111,2.58,2.520439,0.40778276
202404251118_111,2.58,2.3223233,0.42724997
202404251118_111,2.58,2.583265,0.40977743
202404251118_111,2.58,2.573885,0.3875158
202404251118_111,2.58,2.5212193,0.4033422
202404251118_111,2.58,2.5220783,0.38806903
202404251118_111,2.58,2.5560837,0.40835324
202404251118_111,2.58,2.5381002,0.38957646
