DataKey,true_days,predicted_days,predicted_std_days
202404251118_1,176.0,177.71468,3.257086
202404251118_1,176.0,176.27829,3.247155
202404251118_1,176.0,174.90442,3.232249
202404251118_1,176.0,174.29367,3.2310925
202404251118_1,176.0,175.78133,3.241673
202404251118_1,176.0,173.82498,3.2161117
202404251118_1,176.0,175.53731,3.245761
202404251118_1,176.0,174.75218,3.2359698
202404251118_1,176.0,173.91498,3.2210133
202404251118_1,176.0,178.126,3.2721555
202404251118_1,176.0,179.15825,3.2918944
202404251118_1,176.0,177.85072,3.282381
202404251118_1,176.0,176.41953,3.2656374
202404251118_1,176.0,175.56096,3.264366
202404251118_1,176.0,177.72058,3.2789924
202404251118_1,176.0,176.16545,3.2706277
202404251118_1,176.0,177.35939,3.2777803
202404251118_1,176.0,176.66628,3.2735891
202404251118_1,176.0,175.55475,3.2492414
202404251118_1,176.0,178.18288,3.2911618
202404251118_10,176.0,173.60199,3.189546
202404251118_10,176.0,172.57497,3.1925173
202404251118_10,176.0,170.45097,3.1744404
202404251118_10,176.0,169.55855,3.1775506
202404251118_10,176.0,171.59052,3.1775336
202404251118_10,176.0,169.04218,3.171018
202404251118_10,176.0,172.26039,3.1941829
202404251118_10,176.0,170.79555,3.182036
202404251118_10,176.0,172.87402,3.201167
202404251118_10,176.0,174.19716,3.225756
202404251118_10,176.0,175.11174,3.2239013
202404251118_10,176.0,175.353,3.2374282
202404251118_10,176.0,172.66231,3.208476
202404251118_10,176.0,173.26146,3.2243838
202404251118_10,176.0,173.4736,3.2111719
202404251118_10,176.0,175.29039,3.2235906
202404251118_10,176.0,175.05968,3.2400603
202404251118_10,176.0,173.93874,3.2265074
202404251118_10,176.0,171.60901,3.197299
202404251118_10,176.0,175.06023,3.2434785
202404251118_102,176.0,177.11247,3.2142406
202404251118_102,176.0,174.9882,3.2099473
202404251118_102,176.0,172.65836,3.1867042
202404251118_102,176.0,171.86923,3.194387
202404251118_102,176.0,174.48976,3.1986666
202404251118_102,176.0,173.97722,3.198664
202404251118_102,176.0,175.6881,3.232014
202404251118_102,176.0,172.88,3.1970773
202404251118_102,176.0,173.79285,3.1956747
202404251118_102,176.0,176.66457,3.2362442
202404251118_102,176.0,175.20651,3.2108786
202404251118_102,176.0,173.5346,3.2090566
202404251118_102,176.0,172.32509,3.1980722
202404251118_102,176.0,171.60849,3.2034144
202404251118_102,176.0,173.43312,3.2001038
202404251118_102,176.0,172.36577,3.2081072
202404251118_102,176.0,173.97305,3.218921
202404251118_102,176.0,172.37357,3.2047079
202404251118_102,176.0,173.79106,3.211527
202404251118_102,176.0,174.46376,3.224786
202404251118_105,176.0,177.81482,3.2220016
202404251118_105,176.0,177.61382,3.2298183
202404251118_105,176.0,174.90294,3.2081077
202404251118_105,176.0,174.54788,3.2130165
202404251118_105,176.0,175.77158,3.212256
202404251118_105,176.0,175.90767,3.2200124
202404251118_105,176.0,176.85327,3.2381883
202404251118_105,176.0,175.7294,3.2196507
202404251118_105,176.0,174.4431,3.1943867
202404251118_105,176.0,181.07516,3.2767637
202404251118_105,176.0,175.35349,3.2119155
202404251118_105,176.0,175.42813,3.2221422
202404251118_105,176.0,172.62338,3.1990738
202404251118_105,176.0,172.57785,3.2085793
202404251118_105,176.0,173.76404,3.2034254
202404251118_105,176.0,176.33269,3.2319005
202404251118_105,176.0,175.33388,3.2285316
202404251118_105,176.0,173.64171,3.2125773
202404251118_105,176.0,172.40039,3.1906104
202404251118_105,176.0,177.9052,3.261388
202404251118_108,176.0,178.57262,3.2377772
202404251118_108,176.0,176.41548,3.227047
202404251118_108,176.0,174.39693,3.2149951
202404251118_108,176.0,172.98804,3.211211
202404251118_108,176.0,176.22273,3.2256653
202404251118_108,176.0,174.66983,3.2137206
202404251118_108,176.0,176.56375,3.2431564
202404251118_108,176.0,174.47336,3.2176974
202404251118_108,176.0,174.39757,3.2056446
202404251118_108,176.0,178.2876,3.2603943
202404251118_108,176.0,178.02115,3.242038
202404251118_108,176.0,175.17291,3.2221498
202404251118_108,176.0,174.03835,3.2202225
202404251118_108,176.0,172.67215,3.2152357
202404251118_108,176.0,175.79102,3.2288623
202404251118_108,176.0,175.99371,3.2226007
202404251118_108,176.0,175.18993,3.2341154
202404251118_108,176.0,173.73776,3.2179625
202404251118_108,176.0,175.6679,3.2291725
202404251118_108,176.0,177.48909,3.261672
202404251118_11,176.0,176.25368,3.2274728
202404251118_11,176.0,175.2703,3.223331
202404251118_11,176.0,173.05486,3.203796
202404251118_11,176.0,172.18535,3.2011583
202404251118_11,176.0,174.51747,3.2159038
202404251118_11,176.0,173.68289,3.2102776
202404251118_11,176.0,174.57565,3.2226129
202404251118_11,176.0,173.79732,3.2132368
202404251118_11,176.0,172.21805,3.195789
202404251118_11,176.0,176.77461,3.243457
202404251118_11,176.0,172.84624,3.1948118
202404251118_11,176.0,172.7042,3.1993601
202404251118_11,176.0,171.02475,3.1843076
202404251118_11,176.0,170.31476,3.181645
202404251118_11,176.0,171.71962,3.1868024
202404251118_11,176.0,169.87456,3.1698563
202404251118_11,176.0,172.11784,3.197746
202404251118_11,176.0,171.22974,3.1878963
202404251118_11,176.0,173.3962,3.2165892
202404251118_11,176.0,173.25214,3.2088938
202404251118_111,176.0,175.79048,3.2144094
202404251118_111,176.0,175.6646,3.2283828
202404251118_111,176.0,172.65889,3.1937144
202404251118_111,176.0,172.75525,3.211549
202404251118_111,176.0,174.1132,3.2034175
202404251118_111,176.0,176.21729,3.232188
202404251118_111,176.0,175.75403,3.2396064
202404251118_111,176.0,174.07928,3.2200167
202404251118_111,176.0,173.08755,3.1948795
202404251118_111,176.0,177.0053,3.256808
202404251118_111,176.0,175.03877,3.214674
202404251118_111,176.0,174.76761,3.2291903
202404251118_111,176.0,172.92659,3.206411
202404251118_111,176.0,172.84067,3.2212884
202404251118_111,176.0,173.9492,3.2103703
202404251118_111,176.0,173.28894,3.223055
202404251118_111,176.0,174.6529,3.2359507
202404251118_111,176.0,173.73972,3.2244613
202404251118_111,176.0,173.08781,3.2042246
202404251118_111,176.0,177.40286,3.2661614
202404251118_114,176.0,176.56064,3.2288854
202404251118_114,176.0,175.85277,3.2274773
202404251118_114,176.0,173.63301,3.2093878
202404251118_114,176.0,173.37276,3.2145605
202404251118_114,176.0,174.67601,3.215881
202404251118_114,176.0,175.73877,3.224145
202404251118_114,176.0,175.46338,3.2333193
202404251118_114,176.0,174.36255,3.2184255
202404251118_114,176.0,172.25333,3.1881802
202404251118_114,176.0,177.91747,3.2655416
202404251118_114,176.0,174.97028,3.217
202404251118_114,176.0,174.67445,3.2230706
202404251118_114,176.0,172.85591,3.207201
202404251118_114,176.0,172.64886,3.2128656
202404251118_114,176.0,173.64246,3.2091906
202404251118_114,176.0,174.64253,3.2235312
202404251118_114,176.0,174.5109,3.225588
202404251118_114,176.0,173.60373,3.217903
202404251118_114,176.0,172.1,3.1903877
202404251118_114,176.0,176.55217,3.2574365
202404251118_12,176.0,175.96193,3.2266653
202404251118_12,176.0,175.99106,3.2347226
202404251118_12,176.0,174.12209,3.2189045
202404251118_12,176.0,173.88924,3.2246115
202404251118_12,176.0,174.46498,3.2188618
202404251118_12,176.0,175.20789,3.213077
202404251118_12,176.0,175.29518,3.2284873
202404251118_12,176.0,174.62401,3.2280195
202404251118_12,176.0,175.12611,3.2418966
202404251118_12,176.0,177.00275,3.2657235
202404251118_12,176.0,175.3888,3.2367525
202404251118_12,176.0,175.67665,3.2473023
202404251118_12,176.0,174.64331,3.234837
202404251118_12,176.0,174.1381,3.2394807
202404251118_12,176.0,174.76778,3.234003
202404251118_12,176.0,173.98097,3.2413695
202404251118_12,176.0,175.14616,3.2411032
202404251118_12,176.0,174.64723,3.2420886
202404251118_12,176.0,175.77136,3.2614987
202404251118_12,176.0,176.05757,3.264028
202404251118_13,176.0,178.11832,3.2750466
202404251118_13,176.0,176.29703,3.2569704
202404251118_13,176.0,176.59529,3.2573667
202404251118_13,176.0,174.85661,3.2464225
202404251118_13,176.0,176.70789,3.2625046
202404251118_13,176.0,175.66998,3.2557387
202404251118_13,176.0,176.49019,3.2613204
202404251118_13,176.0,175.2521,3.25
202404251118_13,176.0,174.26599,3.2359645
202404251118_13,176.0,177.19196,3.2766829
202404251118_13,176.0,175.49048,3.2415025
202404251118_13,176.0,174.14288,3.228755
202404251118_13,176.0,173.95152,3.226914
202404251118_13,176.0,172.65823,3.218999
202404251118_13,176.0,174.4947,3.2321963
202404251118_13,176.0,172.49722,3.217621
202404251118_13,176.0,174.46199,3.233006
202404251118_13,176.0,173.18765,3.2223625
202404251118_13,176.0,174.6015,3.238661
202404251118_13,176.0,175.75238,3.2569299
202404251118_14,176.0,174.85565,3.2070377
202404251118_14,176.0,174.45094,3.214868
202404251118_14,176.0,172.58405,3.1958332
202404251118_14,176.0,172.41472,3.204774
202404251118_14,176.0,173.11632,3.1959064
202404251118_14,176.0,173.96616,3.2018723
202404251118_14,176.0,174.51122,3.2224307
202404251118_14,176.0,173.0152,3.206021
202404251118_14,176.0,172.12938,3.1882458
202404251118_14,176.0,175.57434,3.2428615
202404251118_14,176.0,173.30614,3.2047126
202404251118_14,176.0,173.86026,3.2230754
202404251118_14,176.0,171.89018,3.2026572
202404251118_14,176.0,172.3688,3.2185354
202404251118_14,176.0,172.32974,3.2004597
202404251118_14,176.0,172.79059,3.216166
202404251118_14,176.0,173.20232,3.2169096
202404251118_14,176.0,172.924,3.2186546
202404251118_14,176.0,171.27856,3.1932266
202404251118_14,176.0,174.73137,3.2441652
202404251118_15,176.0,181.38925,3.2763226
202404251118_15,176.0,179.11868,3.2536864
202404251118_15,176.0,176.81958,3.2322876
202404251118_15,176.0,175.2415,3.217805
202404251118_15,176.0,178.18382,3.2481756
202404251118_15,176.0,177.68935,3.2351804
202404251118_15,176.0,177.43279,3.2463577
202404251118_15,176.0,176.43922,3.2295032
202404251118_15,176.0,177.55132,3.2393606
202404251118_15,176.0,179.68976,3.2772613
202404251118_15,176.0,179.15059,3.2666523
202404251118_15,176.0,179.01642,3.2738414
202404251118_15,176.0,174.24803,3.2197852
202404251118_15,176.0,174.79129,3.2345228
202404251118_15,176.0,176.13481,3.2370405
202404251118_15,176.0,173.65909,3.2210321
202404251118_15,176.0,177.22124,3.2545683
202404251118_15,176.0,176.34737,3.2483146
202404251118_15,176.0,175.00995,3.2342954
202404251118_15,176.0,180.41643,3.2949328
202404251118_16,176.0,179.02272,3.2564714
202404251118_16,176.0,177.65517,3.2426844
202404251118_16,176.0,176.88185,3.2421913
202404251118_16,176.0,175.94647,3.2354639
202404251118_16,176.0,177.66452,3.2481394
