DataKey,true_totEarNum,predicted_totEarNum,predicted_std_totEarNum
202404251118_1,301.0,314.0299,4.624851
202404251118_1,301.0,308.40857,4.633234
202404251118_1,301.0,302.2549,4.463596
202404251118_1,301.0,302.64536,4.57681
202404251118_1,301.0,309.04608,4.547095
202404251118_1,301.0,304.41782,4.704889
202404251118_1,301.0,316.91705,4.7446456
202404251118_1,301.0,304.48932,4.600379
202404251118_1,301.0,340.21082,4.7804694
202404251118_1,301.0,326.68008,4.9109745
202404251118_1,301.0,299.04593,4.6027923
202404251118_1,301.0,284.2048,4.5227194
202404251118_1,301.0,299.57617,4.4578643
202404251118_1,301.0,288.6557,4.4398775
202404251118_1,301.0,298.03134,4.5061097
202404251118_1,301.0,275.59982,4.411261
202404251118_1,301.0,295.1074,4.6806884
202404251118_1,301.0,283.4111,4.4639397
202404251118_1,301.0,333.50134,4.9601374
202404251118_1,301.0,306.86157,4.817886
202404251118_10,294.0,279.51984,4.2378373
202404251118_10,294.0,277.85852,4.222181
202404251118_10,294.0,278.0648,4.2385597
202404251118_10,294.0,281.84436,4.2002425
202404251118_10,294.0,280.27902,4.238185
202404251118_10,294.0,278.12033,4.262171
202404251118_10,294.0,294.55344,4.311358
202404251118_10,294.0,280.0106,4.210912
202404251118_10,294.0,283.5336,4.3498387
202404251118_10,294.0,284.78766,4.463284
202404251118_10,294.0,277.4606,4.396122
202404251118_10,294.0,284.06805,4.5480666
202404251118_10,294.0,283.2687,4.387175
202404251118_10,294.0,291.02567,4.520995
202404251118_10,294.0,279.28198,4.370376
202404251118_10,294.0,295.9198,4.7353816
202404251118_10,294.0,293.4627,4.536909
202404251118_10,294.0,285.7461,4.492011
202404251118_10,294.0,264.39392,4.313843
202404251118_10,294.0,271.6807,4.59212
202404251118_102,392.0,382.9846,4.8347383
202404251118_102,392.0,409.32608,4.8829756
202404251118_102,392.0,393.71988,4.8826537
202404251118_102,392.0,417.5176,4.9746103
202404251118_102,392.0,385.48087,4.836848
202404251118_102,392.0,414.79477,4.9839373
202404251118_102,392.0,409.8651,4.9968247
202404251118_102,392.0,413.32593,4.918762
202404251118_102,392.0,433.13925,5.2294407
202404251118_102,392.0,385.59628,5.5514584
202404251118_102,392.0,360.9584,4.723528
202404251118_102,392.0,378.13812,4.822299
202404251118_102,392.0,356.10773,4.7273235
202404251118_102,392.0,369.2866,4.7641106
202404251118_102,392.0,356.90762,4.745885
202404251118_102,392.0,366.90204,4.7673216
202404251118_102,392.0,375.85037,4.94185
202404251118_102,392.0,372.3232,4.794751
202404251118_102,392.0,393.11368,4.873238
202404251118_102,392.0,354.15054,5.480377
202404251118_105,430.0,456.18945,5.333041
202404251118_105,430.0,456.83557,5.323004
202404251118_105,430.0,462.73135,5.4006615
202404251118_105,430.0,458.31168,5.338227
202404251118_105,430.0,456.16162,5.361673
202404251118_105,430.0,455.72275,5.3243747
202404251118_105,430.0,446.53244,5.262244
202404251118_105,430.0,457.67996,5.318052
202404251118_105,430.0,471.93314,5.501081
202404251118_105,430.0,441.85034,5.449495
202404251118_105,430.0,447.70493,5.204523
202404251118_105,430.0,437.61404,5.076391
202404251118_105,430.0,447.2064,5.230648
202404251118_105,430.0,436.8348,5.130376
202404251118_105,430.0,448.29187,5.2028203
202404251118_105,430.0,442.52792,5.1884212
202404251118_105,430.0,446.80008,5.1347995
202404251118_105,430.0,439.1137,5.104101
202404251118_105,430.0,457.77786,5.3033996
202404251118_105,430.0,443.2032,5.471874
202404251118_108,452.0,477.18796,5.4289436
202404251118_108,452.0,474.81116,5.3716407
202404251118_108,452.0,478.09824,5.4737997
202404251118_108,452.0,478.236,5.4454064
202404251118_108,452.0,477.23608,5.454905
202404251118_108,452.0,487.63556,5.507483
202404251118_108,452.0,506.59085,5.7715225
202404251118_108,452.0,473.9001,5.3807464
202404251118_108,452.0,485.79684,5.5822544
202404251118_108,452.0,489.1757,5.734566
202404251118_108,452.0,464.04932,5.348912
202404251118_108,452.0,472.69754,5.3498898
202404251118_108,452.0,469.27914,5.4086394
202404251118_108,452.0,472.38913,5.4019747
202404251118_108,452.0,464.5817,5.3518095
202404251118_108,452.0,472.76157,5.3610144
202404251118_108,452.0,470.86752,5.340944
202404251118_108,452.0,474.00412,5.378988
202404251118_108,452.0,454.6068,5.2795334
202404251118_108,452.0,464.29288,5.446487
202404251118_11,416.0,421.30164,4.9780846
202404251118_11,416.0,432.24487,5.0931597
202404251118_11,416.0,403.6451,4.9318047
202404251118_11,416.0,404.92722,4.9586706
202404251118_11,416.0,413.92493,4.9546456
202404251118_11,416.0,408.31772,4.9715424
202404251118_11,416.0,393.77588,4.909239
202404251118_11,416.0,421.82126,5.034567
202404251118_11,416.0,432.47577,5.2134113
202404251118_11,416.0,391.7324,5.028938
202404251118_11,416.0,412.90436,5.037753
202404251118_11,416.0,406.06955,5.001751
202404251118_11,416.0,407.23712,5.0758524
202404251118_11,416.0,406.50623,5.0929546
202404251118_11,416.0,411.9821,5.0655594
202404251118_11,416.0,419.28745,5.1015797
202404251118_11,416.0,410.351,5.0889287
202404251118_11,416.0,404.75452,5.0284886
202404251118_11,416.0,388.18246,4.8005066
202404251118_11,416.0,375.146,5.1961226
202404251118_111,472.0,511.9874,5.8886666
202404251118_111,472.0,489.14877,5.689282
202404251118_111,472.0,500.4344,5.7716703
202404251118_111,472.0,478.1488,5.6208935
202404251118_111,472.0,507.2481,5.8355303
202404251118_111,472.0,501.28824,5.7888274
202404251118_111,472.0,494.99066,5.754603
202404251118_111,472.0,484.63947,5.658497
202404251118_111,472.0,509.65866,5.8984046
202404251118_111,472.0,500.5056,5.990825
202404251118_111,472.0,459.1211,5.513793
202404251118_111,472.0,461.37317,5.400555
202404251118_111,472.0,448.83374,5.4130754
202404251118_111,472.0,451.5617,5.375992
202404251118_111,472.0,453.43304,5.4664316
202404251118_111,472.0,451.83078,5.3585978
202404251118_111,472.0,464.14178,5.4330015
202404251118_111,472.0,457.26053,5.3972373
202404251118_111,472.0,491.80405,5.7883973
202404251118_111,472.0,435.8582,5.6626287
202404251118_114,496.0,509.38025,5.7895527
202404251118_114,496.0,505.0725,5.696525
202404251118_114,496.0,510.26974,5.8321366
202404251118_114,496.0,492.08734,5.589065
202404251118_114,496.0,512.1853,5.8306575
202404251118_114,496.0,507.62604,5.743852
202404251118_114,496.0,486.63474,5.5038033
202404251118_114,496.0,500.66733,5.6593237
202404251118_114,496.0,504.25055,5.844459
202404251118_114,496.0,469.38345,5.543964
202404251118_114,496.0,495.14767,5.5253134
202404251118_114,496.0,485.0487,5.4860473
202404251118_114,496.0,500.1383,5.6283307
202404251118_114,496.0,488.15652,5.5587473
202404251118_114,496.0,498.57492,5.582791
202404251118_114,496.0,473.70688,5.3799233
202404251118_114,496.0,507.08743,5.786034
202404251118_114,496.0,486.00632,5.514591
202404251118_114,496.0,508.32965,5.8141437
202404251118_114,496.0,433.73538,5.2315803
202404251118_12,253.0,271.60138,4.3102946
202404251118_12,253.0,269.7796,4.288673
202404251118_12,253.0,266.47562,4.235921
202404251118_12,253.0,269.73395,4.2271657
202404251118_12,253.0,268.369,4.269101
202404251118_12,253.0,272.14252,4.309961
202404251118_12,253.0,274.13623,4.2687383
202404251118_12,253.0,268.6152,4.245152
202404251118_12,253.0,259.6033,4.564572
202404251118_12,253.0,270.09286,4.3950915
202404251118_12,253.0,261.42822,4.361475
202404251118_12,253.0,259.9841,4.2443614
202404251118_12,253.0,262.92612,4.283119
202404251118_12,253.0,263.23608,4.232356
202404251118_12,253.0,262.23734,4.320346
202404251118_12,253.0,261.7899,4.256652
202404251118_12,253.0,266.70923,4.3082776
202404251118_12,253.0,260.80615,4.237213
202404251118_12,253.0,247.46292,4.503458
202404251118_12,253.0,271.76956,4.42286
202404251118_13,295.0,316.68915,4.5353527
202404251118_13,295.0,293.49982,4.3086386
