DataKey,true_totEarWeight,predicted_totEarWeight,predicted_std_totEarWeight
202404251118_1,744.98,711.12427,6.4920826
202404251118_1,744.98,688.1437,6.3214784
202404251118_1,744.98,706.1025,6.545197
202404251118_1,744.98,716.90704,6.6013494
202404251118_1,744.98,719.9874,6.580639
202404251118_1,744.98,706.7343,6.4233294
202404251118_1,744.98,739.2524,6.653145
202404251118_1,744.98,702.18207,6.4419236
202404251118_1,744.98,685.0524,6.3016453
202404251118_1,744.98,708.924,6.563362
202404251118_1,744.98,704.8685,6.402165
202404251118_1,744.98,761.3365,6.7291813
202404251118_1,744.98,710.70935,6.5081143
202404251118_1,744.98,789.1339,6.9710636
202404251118_1,744.98,711.32404,6.471694
202404251118_1,744.98,759.41266,6.778779
202404251118_1,744.98,780.38513,6.940328
202404251118_1,744.98,772.2483,6.8303995
202404251118_1,744.98,712.5989,6.4885745
202404251118_1,744.98,743.66364,6.624876
202404251118_10,550.69,537.1075,5.3178735
202404251118_10,550.69,580.1554,5.5338445
202404251118_10,550.69,530.6044,5.325506
202404251118_10,550.69,576.94806,5.549145
202404251118_10,550.69,537.482,5.3197823
202404251118_10,550.69,562.8042,5.5212255
202404251118_10,550.69,563.57623,5.572642
202404251118_10,550.69,583.2192,5.5559254
202404251118_10,550.69,546.50977,5.2540493
202404251118_10,550.69,553.13544,5.4176517
202404251118_10,550.69,520.1405,5.2997403
202404251118_10,550.69,561.5917,5.418745
202404251118_10,550.69,521.04333,5.3195705
202404251118_10,550.69,561.18176,5.4121933
202404251118_10,550.69,522.1684,5.305974
202404251118_10,550.69,583.52704,5.645487
202404251118_10,550.69,564.0387,5.4807553
202404251118_10,550.69,562.25604,5.411949
202404251118_10,550.69,589.8832,5.6403594
202404251118_10,550.69,535.4104,5.291199
202404251118_102,1334.76,1389.7234,11.121283
202404251118_102,1334.76,1405.6351,11.405502
202404251118_102,1334.76,1379.0497,10.835432
202404251118_102,1334.76,1406.3771,11.446138
202404251118_102,1334.76,1386.5521,11.01346
202404251118_102,1334.76,1414.7521,11.123023
202404251118_102,1334.76,1351.4518,10.876094
202404251118_102,1334.76,1403.16,11.415367
202404251118_102,1334.76,1331.3378,10.550013
202404251118_102,1334.76,1343.5938,10.932311
202404251118_102,1334.76,1380.9495,10.706215
202404251118_102,1334.76,1393.9739,11.091507
202404251118_102,1334.76,1358.8295,10.436657
202404251118_102,1334.76,1383.3243,10.908852
202404251118_102,1334.76,1365.2332,10.523838
202404251118_102,1334.76,1383.7917,10.810869
202404251118_102,1334.76,1336.4703,10.231728
202404251118_102,1334.76,1397.4692,11.091292
202404251118_102,1334.76,1266.7899,9.923698
202404251118_102,1334.76,1411.2224,10.9619
202404251118_105,1563.68,1528.7574,13.4234705
202404251118_105,1563.68,1507.3248,13.07858
202404251118_105,1563.68,1474.1882,12.830141
202404251118_105,1563.68,1469.3722,12.696699
202404251118_105,1563.68,1508.9891,13.257321
202404251118_105,1563.68,1485.7761,12.846695
202404251118_105,1563.68,1502.5374,12.720721
202404251118_105,1563.68,1493.3042,12.952467
202404251118_105,1563.68,1602.5392,13.994338
202404251118_105,1563.68,1612.5116,13.599374
202404251118_105,1563.68,1576.1879,13.426107
202404251118_105,1563.68,1529.0122,12.754117
202404251118_105,1563.68,1548.7991,13.238354
202404251118_105,1563.68,1508.028,12.61279
202404251118_105,1563.68,1560.3657,13.284988
202404251118_105,1563.68,1499.8567,12.064578
202404251118_105,1563.68,1535.5264,12.571834
202404251118_105,1563.68,1522.0764,12.717736
202404251118_105,1563.68,1578.0925,13.047565
202404251118_105,1563.68,1654.5172,13.111106
202404251118_108,1440.88,1435.0045,11.926216
202404251118_108,1440.88,1440.2172,12.322287
202404251118_108,1440.88,1440.3292,12.074618
202404251118_108,1440.88,1462.053,12.707582
202404251118_108,1440.88,1437.121,12.00911
202404251118_108,1440.88,1526.5114,13.199702
202404251118_108,1440.88,1509.6266,12.967592
202404251118_108,1440.88,1449.3367,12.518744
202404251118_108,1440.88,1590.2979,13.828882
202404251118_108,1440.88,1474.308,12.603481
202404251118_108,1440.88,1499.1611,12.209717
202404251118_108,1440.88,1528.5928,12.69673
202404251118_108,1440.88,1456.5629,12.04162
202404251118_108,1440.88,1505.2179,12.583331
202404251118_108,1440.88,1484.4786,12.172992
202404251118_108,1440.88,1586.8895,13.335469
202404251118_108,1440.88,1516.9279,12.412831
202404251118_108,1440.88,1511.2733,12.574511
202404251118_108,1440.88,1532.1062,12.832641
202404251118_108,1440.88,1604.418,12.880452
202404251118_11,874.97,836.9015,7.2842407
202404251118_11,874.97,862.11536,7.463597
202404251118_11,874.97,845.9399,7.3924785
202404251118_11,874.97,872.8967,7.567999
202404251118_11,874.97,841.88727,7.336302
202404251118_11,874.97,870.6207,7.5604367
202404251118_11,874.97,823.47687,7.1805
202404251118_11,874.97,869.45483,7.527228
202404251118_11,874.97,946.30096,8.161372
202404251118_11,874.97,872.58203,7.7044654
202404251118_11,874.97,832.4974,7.354087
202404251118_11,874.97,847.272,7.3894
202404251118_11,874.97,812.1697,7.300466
202404251118_11,874.97,834.57983,7.3753695
202404251118_11,874.97,813.8052,7.241651
202404251118_11,874.97,874.72815,7.6336956
202404251118_11,874.97,904.9468,7.8136225
202404251118_11,874.97,838.16797,7.339175
202404251118_11,874.97,951.3424,8.2070055
202404251118_11,874.97,902.21375,7.8950243
202404251118_111,1372.84,1448.0096,11.8966675
202404251118_111,1372.84,1396.5775,11.371858
202404251118_111,1372.84,1432.9376,11.5599
202404251118_111,1372.84,1422.311,11.49662
202404251118_111,1372.84,1450.8545,11.85002
202404251118_111,1372.84,1513.535,12.878778
202404251118_111,1372.84,1412.3253,11.4278965
202404251118_111,1372.84,1416.7981,11.542231
202404251118_111,1372.84,1469.7819,11.645617
202404251118_111,1372.84,1462.1506,11.941522
202404251118_111,1372.84,1438.1208,11.142261
202404251118_111,1372.84,1397.6603,10.708841
202404251118_111,1372.84,1402.5867,10.759676
202404251118_111,1372.84,1387.3881,10.4910345
202404251118_111,1372.84,1420.1956,10.979351
202404251118_111,1372.84,1375.0808,10.320008
202404251118_111,1372.84,1355.7013,10.048901
202404251118_111,1372.84,1391.508,10.580543
202404251118_111,1372.84,1511.5599,11.554207
202404251118_111,1372.84,1586.0995,12.4029
202404251118_114,1485.48,1479.5465,12.517984
202404251118_114,1485.48,1529.6827,13.013222
202404251118_114,1485.48,1441.1637,12.064716
202404251118_114,1485.48,1518.5336,12.804597
202404251118_114,1485.48,1478.5419,12.498758
202404251118_114,1485.48,1526.6233,12.920617
202404251118_114,1485.48,1474.581,12.036201
202404251118_114,1485.48,1520.6924,12.901087
202404251118_114,1485.48,1450.0352,11.552436
202404251118_114,1485.48,1606.9058,13.29916
202404251118_114,1485.48,1482.6458,11.615405
202404251118_114,1485.48,1533.6405,12.134226
202404251118_114,1485.48,1450.3198,11.268577
202404251118_114,1485.48,1480.237,11.595011
202404251118_114,1485.48,1472.67,11.512516
202404251118_114,1485.48,1476.4629,11.244239
202404251118_114,1485.48,1505.6346,11.594596
202404251118_114,1485.48,1508.0818,11.821198
202404251118_114,1485.48,1423.6969,10.6847105
202404251118_114,1485.48,1615.038,12.615353
202404251118_12,475.79,393.5153,5.060065
202404251118_12,475.79,432.7445,4.895643
202404251118_12,475.79,410.44778,4.9323306
202404251118_12,475.79,449.91986,4.9157124
202404251118_12,475.79,395.79526,4.9551325
202404251118_12,475.79,462.94635,5.0592513
202404251118_12,475.79,429.06433,4.973237
202404251118_12,475.79,437.81757,4.8649898
202404251118_12,475.79,470.8979,5.482183
202404251118_12,475.79,415.11575,5.139048
202404251118_12,475.79,453.90945,5.035672
202404251118_12,475.79,477.87454,5.2421474
202404251118_12,475.79,462.55417,5.0506487
202404251118_12,475.79,481.02066,5.1961946
202404251118_12,475.79,455.81793,5.023319
202404251118_12,475.79,473.6864,5.261794
202404251118_12,475.79,451.29184,5.1475377
202404251118_12,475.79,477.40033,5.1965227
202404251118_12,475.79,447.6381,5.0098515
202404251118_12,475.79,421.31714,5.1698656
202404251118_13,649.8,603.5833,5.8034225
202404251118_13,649.8,629.0351,6.005982
202404251118_13,649.8,603.1321,5.8001394
202404251118_13,649.8,624.9217,5.9750605
202404251118_13,649.8,609.0925,5.8319483
202404251118_13,649.8,613.153,5.9504476
202404251118_13,649.8,613.08923,6.012249
202404251118_13,649.8,628.364,5.97863
202404251118_13,649.8,559.172,5.435841
202404251118_13,649.8,599.9101,5.8552413
202404251118_13,649.8,584.92523,5.614306
202404251118_13,649.8,595.4928,5.7126465
202404251118_13,649.8,594.8713,5.6829424
202404251118_13,649.8,594.2533,5.6963286
202404251118_13,649.8,591.10504,5.6511497
202404251118_13,649.8,586.76996,5.688154
202404251118_13,649.8,582.06213,5.6106935
202404251118_13,649.8,597.75696,5.7156763
202404251118_13,649.8,611.58026,5.8207207
202404251118_13,649.8,599.8455,5.9461365
202404251118_14,646.63,639.9582,6.1506224
202404251118_14,646.63,647.82245,6.0297904
202404251118_14,646.63,635.23065,6.0805655
202404251118_14,646.63,664.20874,6.227781
202404251118_14,646.63,641.2294,6.1247053
202404251118_14,646.63,670.9706,6.249437
202404251118_14,646.63,630.88385,5.970377
202404251118_14,646.63,653.721,6.1130195
202404251118_14,646.63,614.4565,5.7066703
202404251118_14,646.63,604.4511,5.711446
202404251118_14,646.63,648.8349,6.087254
202404251118_14,646.63,611.1781,5.8090367
202404251118_14,646.63,641.1317,6.0475383
202404251118_14,646.63,627.75665,6.002386
202404251118_14,646.63,646.66895,6.069804
202404251118_14,646.63,630.8196,5.971807
202404251118_14,646.63,634.26746,6.152034
202404251118_14,646.63,620.98126,5.9113293
202404251118_14,646.63,613.09216,5.685091
202404251118_14,646.63,614.2763,5.812083
202404251118_15,620.09,575.6555,5.777882
202404251118_15,620.09,592.954,5.8052382
202404251118_15,620.09,586.5375,5.9124084
202404251118_15,620.09,614.52374,6.007519
202404251118_15,620.09,587.26276,5.88282
202404251118_15,620.09,632.2524,6.0502005
202404251118_15,620.09,593.9919,6.007522
202404251118_15,620.09,604.01855,5.887574
202404251118_15,620.09,572.3668,6.4185996
202404251118_15,620.09,575.1902,5.887932
