DataKey,true_totalSeedWeightAfterDry,predicted_totalSeedWeightAfterDry,predicted_std_totalSeedWeightAfterDry
202404251118_1,143.57,145.29678,2.9902241
202404251118_1,143.57,140.4051,2.9598837
202404251118_1,143.57,137.32076,2.9301283
202404251118_1,143.57,136.54857,2.978053
202404251118_1,143.57,142.09462,2.9619327
202404251118_1,143.57,137.89224,2.971355
202404251118_1,143.57,136.87793,3.020365
202404251118_1,143.57,140.1569,2.969004
202404251118_1,143.57,143.09836,3.0806065
202404251118_1,143.57,130.47112,3.088943
202404251118_1,143.57,143.43466,2.914001
202404251118_1,143.57,131.64944,2.8455656
202404251118_1,143.57,136.33464,2.8929036
202404251118_1,143.57,134.01558,2.906865
202404251118_1,143.57,140.83913,2.9239173
202404251118_1,143.57,133.60092,2.9150236
202404251118_1,143.57,129.69698,2.8791685
202404251118_1,143.57,133.59058,2.8895411
202404251118_1,143.57,128.81894,2.9729605
202404251118_1,143.57,145.78926,3.1623373
202404251118_10,82.26,79.53564,2.2955678
202404251118_10,82.26,77.944405,2.2803237
202404251118_10,82.26,78.87,2.2756665
202404251118_10,82.26,79.52297,2.2868545
202404251118_10,82.26,78.78282,2.2758245
202404251118_10,82.26,77.002235,2.2648985
202404251118_10,82.26,74.723885,2.2941298
202404251118_10,82.26,78.31595,2.2841127
202404251118_10,82.26,82.488,2.4047334
202404251118_10,82.26,82.86438,2.40602
202404251118_10,82.26,80.984,2.4842038
202404251118_10,82.26,77.74715,2.3805184
202404251118_10,82.26,80.152214,2.4236522
202404251118_10,82.26,78.27088,2.3385978
202404251118_10,82.26,80.33949,2.4614172
202404251118_10,82.26,76.42663,2.4640923
202404251118_10,82.26,79.42963,2.4565868
202404251118_10,82.26,77.67186,2.344184
202404251118_10,82.26,83.3193,2.3632562
202404251118_10,82.26,90.100624,2.7121553
202404251118_102,236.27,228.746,3.4523656
202404251118_102,236.27,216.14929,3.2748768
202404251118_102,236.27,230.11412,3.4490316
202404251118_102,236.27,212.16403,3.2743318
202404251118_102,236.27,229.63373,3.4424906
202404251118_102,236.27,218.39095,3.2942767
202404251118_102,236.27,221.72626,3.3568854
202404251118_102,236.27,210.80013,3.240171
202404251118_102,236.27,236.28625,3.590833
202404251118_102,236.27,223.18674,3.549043
202404251118_102,236.27,225.49019,3.4272997
202404251118_102,236.27,214.42825,3.276782
202404251118_102,236.27,222.33347,3.3787968
202404251118_102,236.27,209.87105,3.25297
202404251118_102,236.27,222.52922,3.3850641
202404251118_102,236.27,212.70547,3.264588
202404251118_102,236.27,212.08478,3.2363062
202404251118_102,236.27,213.25446,3.2720408
202404251118_102,236.27,237.82147,3.577461
202404251118_102,236.27,201.71692,3.3327184
202404251118_105,279.71,246.7378,3.6382842
202404251118_105,279.71,268.10385,3.9416013
202404251118_105,279.71,247.42787,3.701465
202404251118_105,279.71,272.2975,4.040037
202404251118_105,279.71,247.07822,3.6716232
202404251118_105,279.71,273.5615,4.0424924
202404251118_105,279.71,267.63177,3.9616718
202404251118_105,279.71,270.24368,3.9884276
202404251118_105,279.71,265.9505,4.066158
202404251118_105,279.71,278.93433,4.207697
202404251118_105,279.71,272.5122,3.9276276
202404251118_105,279.71,264.01068,3.8530755
202404251118_105,279.71,284.47714,4.148265
202404251118_105,279.71,276.74036,4.0684304
202404251118_105,279.71,277.04636,4.011679
202404251118_105,279.71,267.10382,3.907498
202404251118_105,279.71,269.28665,3.9518971
202404251118_105,279.71,269.58624,3.944052
202404251118_105,279.71,265.75342,4.0856714
202404251118_105,279.71,283.288,4.280803
202404251118_108,259.42,232.0733,3.451927
202404251118_108,259.42,220.74414,3.3268816
202404251118_108,259.42,238.23187,3.5789225
202404251118_108,259.42,231.58275,3.5273864
202404251118_108,259.42,236.16937,3.5208664
202404251118_108,259.42,233.0592,3.4413466
202404251118_108,259.42,221.24492,3.3854814
202404251118_108,259.42,226.78258,3.431666
202404251118_108,259.42,259.2233,3.9479656
202404251118_108,259.42,235.4513,3.6413708
202404251118_108,259.42,233.1531,3.3970468
202404251118_108,259.42,221.42989,3.279915
202404251118_108,259.42,238.05959,3.5053132
202404251118_108,259.42,223.53362,3.3720248
202404251118_108,259.42,235.88756,3.446788
202404251118_108,259.42,229.59885,3.3662271
202404251118_108,259.42,232.82097,3.4358158
202404251118_108,259.42,223.06522,3.32556
202404251118_108,259.42,250.35852,3.7499943
202404251118_108,259.42,232.84447,3.5194976
202404251118_11,208.47,210.19232,3.3278022
202404251118_11,208.47,200.58357,3.28197
202404251118_11,208.47,206.65326,3.3270218
202404251118_11,208.47,198.42912,3.2931628
202404251118_11,208.47,210.38495,3.3417678
202404251118_11,208.47,203.49994,3.3444345
202404251118_11,208.47,191.57314,3.2366428
202404251118_11,208.47,202.8242,3.314933
202404251118_11,208.47,193.94316,3.345527
202404251118_11,208.47,197.34184,3.425698
202404251118_11,208.47,212.48082,3.4135432
202404251118_11,208.47,200.35205,3.2970436
202404251118_11,208.47,202.0425,3.3849175
202404251118_11,208.47,197.54768,3.3147573
202404251118_11,208.47,209.19179,3.4115849
202404251118_11,208.47,200.68031,3.2824905
202404251118_11,208.47,203.24413,3.3638222
202404251118_11,208.47,199.80525,3.3112803
202404251118_11,208.47,201.62462,3.3290768
202404251118_11,208.47,197.05916,3.496122
202404251118_111,182.79,186.71893,3.1127744
202404251118_111,182.79,167.5644,2.9525874
202404251118_111,182.79,185.71753,3.1463118
202404251118_111,182.79,166.93005,2.9710262
202404251118_111,182.79,185.72606,3.1212726
202404251118_111,182.79,186.54114,3.0737119
202404251118_111,182.79,174.7051,3.102224
202404251118_111,182.79,166.89677,2.9431057
202404251118_111,182.79,199.46689,3.7206337
202404251118_111,182.79,171.47455,3.3401663
202404251118_111,182.79,180.64491,2.978306
202404251118_111,182.79,173.92879,2.9431138
202404251118_111,182.79,185.39345,3.0488544
202404251118_111,182.79,175.03758,2.9893892
202404251118_111,182.79,181.92455,2.9993303
202404251118_111,182.79,170.92117,2.9549825
202404251118_111,182.79,171.6642,2.9579377
202404251118_111,182.79,173.65596,2.961289
202404251118_111,182.79,205.42847,3.7503476
202404251118_111,182.79,176.56111,3.409626
202404251118_114,216.21,204.76222,3.2377262
202404251118_114,216.21,205.46494,3.2549994
202404251118_114,216.21,201.85565,3.2454183
202404251118_114,216.21,208.34908,3.2858114
202404251118_114,216.21,202.0324,3.2239878
202404251118_114,216.21,208.53447,3.3004434
202404251118_114,216.21,210.78976,3.371595
202404251118_114,216.21,204.97696,3.2564662
202404251118_114,216.21,238.8089,3.7262132
202404251118_114,216.21,221.83305,3.5799282
202404251118_114,216.21,198.4506,3.0777392
202404251118_114,216.21,197.76082,3.076987
202404251118_114,216.21,201.4502,3.1418557
202404251118_114,216.21,194.95874,3.1009958
202404251118_114,216.21,197.85495,3.087857
202404251118_114,216.21,192.46793,3.0916486
202404251118_114,216.21,205.92451,3.1595166
202404251118_114,216.21,195.95193,3.083117
202404251118_114,216.21,227.81114,3.5720866
202404251118_114,216.21,218.07455,3.361555
202404251118_12,125.21,119.476715,2.6044004
202404251118_12,125.21,113.55268,2.5476437
202404251118_12,125.21,123.37512,2.6328518
202404251118_12,125.21,118.21704,2.6098297
202404251118_12,125.21,123.006676,2.624193
202404251118_12,125.21,123.28125,2.6888118
202404251118_12,125.21,114.43764,2.5972662
202404251118_12,125.21,115.77513,2.5807533
202404251118_12,125.21,124.72808,2.6671345
202404251118_12,125.21,122.62553,2.9946551
202404251118_12,125.21,123.46936,2.7522933
202404251118_12,125.21,121.96101,2.7723348
202404251118_12,125.21,125.30964,2.7524636
202404251118_12,125.21,126.21675,2.7902927
202404251118_12,125.21,125.22618,2.767467
202404251118_12,125.21,124.37865,2.8472776
202404251118_12,125.21,115.432556,2.7972016
202404251118_12,125.21,125.07888,2.7885344
202404251118_12,125.21,116.313995,2.6051333
202404251118_12,125.21,122.466255,3.0089707
202404251118_13,99.92,90.45162,2.5037854
202404251118_13,99.92,89.687904,2.4877179
202404251118_13,99.92,92.193985,2.4943805
202404251118_13,99.92,91.20041,2.5437
202404251118_13,99.92,92.87107,2.5040028
202404251118_13,99.92,87.69232,2.5387404
202404251118_13,99.92,83.66626,2.4899554
202404251118_13,99.92,90.69914,2.5164566
202404251118_13,99.92,82.57673,2.4992661
202404251118_13,99.92,90.045204,2.7386446
202404251118_13,99.92,86.76244,2.5322475
202404251118_13,99.92,95.54596,2.4889066
202404251118_13,99.92,90.44436,2.5787258
202404251118_13,99.92,99.41213,2.6159189
202404251118_13,99.92,88.14081,2.541953
202404251118_13,99.92,94.37241,2.5303907
202404251118_13,99.92,90.72147,2.6433318
202404251118_13,99.92,94.73726,2.4970164
202404251118_13,99.92,101.55576,2.6957405
202404251118_13,99.92,96.930595,2.8910294
202404251118_14,101.77,98.30738,2.5169072
202404251118_14,101.77,91.0311,2.478711
202404251118_14,101.77,101.062584,2.5396338
202404251118_14,101.77,94.44207,2.4835188
202404251118_14,101.77,100.43931,2.524212
202404251118_14,101.77,92.14976,2.5070672
202404251118_14,101.77,97.73454,2.5678408
202404251118_14,101.77,92.873436,2.476877
202404251118_14,101.77,102.19065,2.6033573
202404251118_14,101.77,89.67972,2.6228423
202404251118_14,101.77,94.5106,2.445614
202404251118_14,101.77,92.004295,2.4142747
202404251118_14,101.77,93.32096,2.4838872
202404251118_14,101.77,92.691734,2.4483614
202404251118_14,101.77,94.5284,2.4562538
202404251118_14,101.77,93.048996,2.4384196
202404251118_14,101.77,86.79596,2.491805
202404251118_14,101.77,91.411,2.4177413
202404251118_14,101.77,98.947136,2.5641341
202404251118_14,101.77,82.31399,2.5784435
202404251118_15,119.78,114.7885,2.595369
202404251118_15,119.78,114.852165,2.6283104
202404251118_15,119.78,116.79345,2.6104276
202404251118_15,119.78,112.160095,2.6405294
202404251118_15,119.78,116.01426,2.5909648
202404251118_15,119.78,114.82069,2.6207204
202404251118_15,119.78,111.49839,2.7377973
202404251118_15,119.78,113.72201,2.6274846
202404251118_15,119.78,110.55486,2.8020945
202404251118_15,119.78,105.97175,2.7252028
202404251118_15,119.78,117.67674,3.3569279
202404251118_15,119.78,121.619606,3.0573235
202404251118_15,119.78,121.23984,3.4083078
202404251118_15,119.78,125.0515,3.2031066
202404251118_15,119.78,118.02642,3.4168139
