DataKey,true_SPAD,predicted_SPAD,predicted_std_SPAD
202404251118_1,55.6,54.958996,1.9343183
202404251118_1,55.6,54.685616,1.9293034
202404251118_1,55.6,54.790726,1.9308918
202404251118_1,55.6,54.75509,1.9306642
202404251118_1,55.6,55.1109,1.9374647
202404251118_1,55.6,55.646404,1.949731
202404251118_1,55.6,54.55893,1.9262787
202404251118_1,55.6,54.846176,1.932647
202404251118_1,55.6,53.289387,1.9016904
202404251118_1,55.6,53.705376,1.9102252
202404251118_1,55.6,55.5368,1.9466233
202404251118_1,55.6,54.353825,1.9220684
202404251118_1,55.6,55.43903,1.9446536
202404251118_1,55.6,54.267654,1.9200096
202404251118_1,55.6,55.541695,1.9467233
202404251118_1,55.6,53.90572,1.9127959
202404251118_1,55.6,54.01404,1.9145709
202404251118_1,55.6,54.338863,1.921623
202404251118_1,55.6,53.886295,1.9129075
202404251118_1,55.6,55.31776,1.9432248
202404251118_10,49.6,50.541523,1.8445688
202404251118_10,49.6,49.52053,1.8244177
202404251118_10,49.6,50.267036,1.8390206
202404251118_10,49.6,49.92341,1.8323766
202404251118_10,49.6,50.35443,1.8407222
202404251118_10,49.6,50.532196,1.844803
202404251118_10,49.6,50.306488,1.8398525
202404251118_10,49.6,49.595955,1.8259604
202404251118_10,49.6,51.056423,1.8552234
202404251118_10,49.6,50.688454,1.8512753
202404251118_10,49.6,49.487198,1.8232675
202404251118_10,49.6,49.734844,1.8276604
202404251118_10,49.6,49.327915,1.8199202
202404251118_10,49.6,50.061424,1.8342574
202404251118_10,49.6,49.348248,1.8204079
202404251118_10,49.6,50.213646,1.8371494
202404251118_10,49.6,50.596382,1.8445702
202404251118_10,49.6,49.987484,1.8326459
202404251118_10,49.6,49.991993,1.8342035
202404251118_10,49.6,50.412403,1.8440568
202404251118_102,52.0,51.31151,1.8598682
202404251118_102,52.0,50.798317,1.8498036
202404251118_102,52.0,51.67309,1.8669053
202404251118_102,52.0,50.774067,1.8495235
202404251118_102,52.0,51.542553,1.8642458
202404251118_102,52.0,50.66108,1.8472447
202404251118_102,52.0,51.018806,1.8536793
202404251118_102,52.0,50.788452,1.8496865
202404251118_102,52.0,51.729477,1.8682085
202404251118_102,52.0,52.193592,1.8802904
202404251118_102,52.0,50.80835,1.8489183
202404251118_102,52.0,51.98671,1.8727076
202404251118_102,52.0,51.111088,1.8549798
202404251118_102,52.0,52.02831,1.8737586
202404251118_102,52.0,50.92313,1.8512453
202404251118_102,52.0,52.228672,1.8777206
202404251118_102,52.0,51.586014,1.8645331
202404251118_102,52.0,51.99716,1.8729818
202404251118_102,52.0,51.82343,1.8695369
202404251118_102,52.0,51.96902,1.8753593
202404251118_105,47.8,46.534405,1.7672906
202404251118_105,47.8,46.691055,1.7703125
202404251118_105,47.8,46.80745,1.7727419
202404251118_105,47.8,46.958942,1.7755283
202404251118_105,47.8,46.55637,1.7678536
202404251118_105,47.8,46.63107,1.7693063
202404251118_105,47.8,47.308113,1.7820337
202404251118_105,47.8,46.76488,1.7717837
202404251118_105,47.8,48.57265,1.8078681
202404251118_105,47.8,48.323425,1.8040382
202404251118_105,47.8,46.9626,1.7752827
202404251118_105,47.8,47.14508,1.7792214
202404251118_105,47.8,47.536877,1.7861812
202404251118_105,47.8,47.559208,1.7871202
202404251118_105,47.8,47.08011,1.7775319
202404251118_105,47.8,47.267113,1.7816938
202404251118_105,47.8,48.15937,1.798285
202404251118_105,47.8,47.243633,1.7811433
202404251118_105,47.8,49.95182,1.8340135
202404251118_105,47.8,47.67597,1.7910593
202404251118_108,50.9,49.37676,1.8214935
202404251118_108,50.9,50.099037,1.836023
202404251118_108,50.9,49.154713,1.8170321
202404251118_108,50.9,49.98697,1.833776
202404251118_108,50.9,49.33232,1.8205229
202404251118_108,50.9,49.88637,1.8317857
202404251118_108,50.9,50.71701,1.8477206
202404251118_108,50.9,49.920906,1.8324578
202404251118_108,50.9,50.88359,1.8514532
202404251118_108,50.9,51.68442,1.8688723
202404251118_108,50.9,49.789955,1.8301141
202404251118_108,50.9,50.733955,1.8488268
202404251118_108,50.9,49.400024,1.8225124
202404251118_108,50.9,50.49006,1.8440253
202404251118_108,50.9,49.63482,1.827086
202404251118_108,50.9,50.155216,1.8378522
202404251118_108,50.9,51.090633,1.8557981
202404251118_108,50.9,50.59281,1.8459704
202404251118_108,50.9,51.51584,1.8631389
202404251118_108,50.9,51.780106,1.8712195
202404251118_11,52.9,52.209038,1.8773693
202404251118_11,52.9,52.367367,1.8812516
202404251118_11,52.9,52.451843,1.8822484
202404251118_11,52.9,52.578667,1.8856914
202404251118_11,52.9,52.281254,1.8787215
202404251118_11,52.9,52.5187,1.8840005
202404251118_11,52.9,53.356045,1.901042
202404251118_11,52.9,52.541027,1.8847015
202404251118_11,52.9,52.605095,1.8868152
202404251118_11,52.9,53.63291,1.9096501
202404251118_11,52.9,52.85772,1.8909723
202404251118_11,52.9,53.0835,1.8948321
202404251118_11,52.9,52.702656,1.887809
202404251118_11,52.9,52.719593,1.8874288
202404251118_11,52.9,52.83036,1.8904675
202404251118_11,52.9,52.759224,1.8883593
202404251118_11,52.9,52.737633,1.8878127
202404251118_11,52.9,52.854946,1.8901913
202404251118_11,52.9,53.28023,1.8995965
202404251118_11,52.9,52.876034,1.8924026
202404251118_111,53.2,51.75663,1.8683417
202404251118_111,53.2,52.65692,1.8872476
202404251118_111,53.2,51.850704,1.8699937
202404251118_111,53.2,52.642643,1.8869346
202404251118_111,53.2,51.866405,1.8704581
202404251118_111,53.2,52.933495,1.8926399
202404251118_111,53.2,53.17852,1.8976188
202404251118_111,53.2,52.667038,1.8874484
202404251118_111,53.2,52.591885,1.8849735
202404251118_111,53.2,53.288475,1.9015703
202404251118_111,53.2,53.29833,1.8994148
202404251118_111,53.2,53.360237,1.9014215
202404251118_111,53.2,53.336246,1.9002808
202404251118_111,53.2,53.3217,1.9004658
202404251118_111,53.2,53.361145,1.9006819
202404251118_111,53.2,53.20074,1.8981321
202404251118_111,53.2,53.5894,1.9059967
202404251118_111,53.2,53.356537,1.9012522
202404251118_111,53.2,53.39671,1.9013188
202404251118_111,53.2,53.116936,1.8976053
202404251118_114,51.5,50.10702,1.8363445
202404251118_114,51.5,50.349777,1.8411437
202404251118_114,51.5,50.841846,1.8506563
202404251118_114,51.5,50.579674,1.8456762
202404251118_114,51.5,50.483402,1.8437251
202404251118_114,51.5,50.385044,1.8419845
202404251118_114,51.5,50.145977,1.8369831
202404251118_114,51.5,50.504982,1.844277
202404251118_114,51.5,52.921482,1.8949449
202404251118_114,51.5,51.79619,1.8711289
202404251118_114,51.5,51.961735,1.8721608
202404251118_114,51.5,51.564632,1.8645368
202404251118_114,51.5,52.13749,1.8755077
202404251118_114,51.5,51.317623,1.8593799
202404251118_114,51.5,52.05463,1.8739561
202404251118_114,51.5,51.005833,1.8533502
202404251118_114,51.5,51.080067,1.8548414
202404251118_114,51.5,51.42552,1.8616366
202404251118_114,51.5,52.02586,1.8753998
202404251118_114,51.5,51.591187,1.8664771
202404251118_12,52.9,53.620094,1.9077191
202404251118_12,52.9,53.636406,1.9083434
202404251118_12,52.9,53.840347,1.91242
202404251118_12,52.9,53.65699,1.9091
202404251118_12,52.9,53.777016,1.9110007
