true,predicted,predicted_std,lower_95CI,upper_95CI
406.0,297.65817,87.307106,126.53624,468.7801
406.0,295.66696,87.04896,125.050995,466.28293
406.0,294.30716,86.868126,124.04562,464.5687
406.0,296.19208,87.1176,125.441574,466.94257
406.0,296.29584,87.12915,125.522705,467.06897
406.0,296.14368,87.11054,125.40701,466.88034
406.0,294.24664,86.86068,123.99971,464.4936
406.0,295.9684,87.088356,125.27524,466.6616
406.0,294.8247,86.93824,124.42575,465.22366
406.0,300.2306,87.63678,128.4625,471.9987
406.0,297.39902,87.27693,126.33623,468.4618
406.0,296.81458,87.20355,125.895615,467.73352
406.0,296.36078,87.13999,125.56639,467.15515
406.0,296.06134,87.10419,125.33713,466.78555
406.0,297.08243,87.234695,126.10242,468.06244
406.0,296.4967,87.1609,125.66135,467.33206
406.0,297.31622,87.26686,126.27318,468.35925
406.0,296.64194,87.180725,125.767715,467.51617
406.0,298.68182,87.44289,127.29376,470.0699
406.0,303.6545,88.08103,131.01569,476.29333
385.0,301.6283,87.83039,129.48073,473.77588
385.0,301.30444,87.78864,129.2387,473.37018
385.0,300.78867,87.72111,128.85529,472.72205
385.0,301.13742,87.76642,129.11523,473.1596
385.0,301.62183,87.82934,129.47632,473.76733
385.0,300.72052,87.711235,128.8065,472.63452
385.0,301.46518,87.8069,129.36365,473.5667
385.0,301.45184,87.80757,129.349,473.5547
385.0,303.37628,88.05554,130.78741,475.96515
385.0,303.28534,88.03837,130.73013,475.84055
385.0,302.81973,87.983894,130.37129,475.2682
385.0,303.3762,88.05877,130.781,475.97137
385.0,302.70804,87.96892,130.28896,475.12714
385.0,303.05426,88.016495,130.54193,475.5666
385.0,302.9103,87.99514,130.43983,475.3808
385.0,303.22363,88.038284,130.6686,475.7787
385.0,301.46518,87.80886,129.3598,473.57056
385.0,303.15613,88.030174,130.61699,475.69525
385.0,303.104,88.02275,130.5794,475.6286
385.0,302.94202,87.99703,130.46783,475.4162
279.0,280.83932,85.01261,114.2146,447.46405
279.0,285.32248,85.641426,117.46529,453.1797
279.0,283.28583,85.35624,115.987595,450.58405
279.0,287.32623,85.91838,118.92621,455.72626
279.0,282.0429,85.18218,115.08583,449.0
279.0,287.1914,85.899414,118.82855,455.55426
279.0,280.83157,85.0122,114.20766,447.4555
279.0,287.52597,85.946365,119.07109,455.98083
279.0,284.27826,85.49209,116.71376,451.84277
279.0,286.3059,85.776825,118.183334,454.42847
279.0,286.86053,85.8583,118.57826,455.14282
279.0,293.0157,86.70132,123.0811,462.95026
279.0,283.22144,85.35067,115.93411,450.50876
279.0,288.07208,86.02386,119.46532,456.67883
279.0,285.28952,85.63999,117.435135,453.14392
279.0,291.83502,86.54002,122.21657,461.4535
279.0,290.58902,86.37056,121.30272,459.8753
279.0,291.12027,86.4425,121.69298,460.54755
279.0,292.89142,86.68147,122.99573,462.7871
279.0,296.05615,87.10489,125.33057,466.78174
425.0,295.17462,86.9883,124.67755,465.6717
425.0,295.59528,87.04431,124.98842,466.20215
425.0,294.02197,86.834625,123.82611,464.21783
425.0,294.0066,86.83334,123.81323,464.19995
425.0,294.81604,86.94144,124.41083,465.22125
425.0,295.83694,87.0747,125.17053,466.50336
425.0,296.1879,87.12089,125.430954,466.94482
425.0,295.0359,86.97146,124.57182,465.49994
425.0,291.20447,86.44835,121.7657,460.64325
425.0,297.53348,87.29446,126.43634,468.6306
425.0,292.42972,86.61665,122.66107,462.19836
425.0,294.18298,86.85392,123.949295,464.4167
425.0,289.5676,86.22649,120.563675,458.57153
425.0,290.45203,86.34556,121.21472,459.68933
425.0,291.22906,86.4535,121.7802,460.67792
425.0,294.18475,86.853714,123.95148,464.41803
425.0,291.56342,86.49737,122.028564,461.09827
425.0,293.18732,86.71877,123.21852,463.15613
425.0,292.21613,86.58932,122.50105,461.9312
425.0,297.26352,87.25475,126.2442,468.28284
368.0,293.9437,86.81972,123.77704,464.11035
368.0,292.75754,86.65842,122.90704,462.60803
368.0,291.29483,86.46059,121.83208,460.75757
368.0,288.3849,86.06197,119.703415,457.06635
368.0,292.86252,86.673416,122.98262,462.74243
368.0,292.4187,86.61211,122.658966,462.17844
368.0,294.53174,86.897835,124.211975,464.8515
368.0,290.83722,86.3972,121.4987,460.17572
368.0,288.73035,86.111275,119.95224,457.50845
368.0,283.53122,85.38511,116.17641,450.88605
368.0,295.32452,87.00447,124.79576,465.85327
368.0,295.86627,87.074905,125.19945,466.53308
368.0,293.07767,86.703964,123.13789,463.01746
368.0,294.16595,86.851814,123.9364,464.3955
368.0,294.56158,86.90397,124.2298,464.89337
368.0,297.44327,87.28367,126.36728,468.51926
368.0,293.7013,86.78669,123.59938,463.80322
368.0,295.1115,86.97606,124.63843,465.5846
368.0,288.53723,86.08307,119.81441,457.26007
368.0,287.2643,85.90506,118.890396,455.63824
252.0,291.13406,86.446205,121.69949,460.56863
252.0,289.82312,86.26687,120.74005,458.9062
252.0,291.7913,86.53685,122.17906,461.4035
252.0,289.0604,86.163025,120.18086,457.93994
252.0,291.5271,86.500626,121.98587,461.06833
252.0,291.023,86.43161,121.61705,460.42896
252.0,289.77817,86.25959,120.709366,458.847
252.0,289.66678,86.24585,120.62491,458.70865
252.0,289.90924,86.278885,120.80263,459.01587
252.0,293.00436,86.69904,123.074234,462.9345
252.0,292.16406,86.587456,122.45265,461.8755
252.0,292.02692,86.57004,122.34964,461.7042
252.0,292.09503,86.5778,122.40254,461.78754
252.0,291.58862,86.51024,122.02855,461.14868
252.0,292.13574,86.58349,122.4321,461.8394
252.0,292.5734,86.64458,122.750015,462.3968
252.0,291.48706,86.49601,121.95488,461.01923
252.0,292.01257,86.56818,122.33894,461.68622
252.0,288.35904,86.06604,119.6696,457.04846
252.0,292.0713,86.57292,122.38837,461.7542
390.0,287.4101,85.93231,118.98276,455.83743
390.0,289.98627,86.2851,120.86746,459.10507
390.0,284.2039,85.48643,116.65048,451.7573
390.0,289.29456,86.19076,120.36067,458.22845
390.0,286.19128,85.76341,118.094986,454.2876
390.0,289.19614,86.176384,120.29042,458.10187
390.0,291.68427,86.51313,122.11853,461.25
390.0,289.3559,86.19915,120.40556,458.3062
390.0,290.5788,86.365,121.30339,459.8542
390.0,290.62024,86.370056,121.33493,459.90555
390.0,301.06244,87.754036,129.06453,473.06036
390.0,302.66843,87.96086,130.26514,475.07172
390.0,298.89685,87.4705,127.454666,470.33905
390.0,302.16223,87.89399,129.89001,474.43445
390.0,300.22565,87.64464,128.44215,472.00916
390.0,302.2771,87.91004,129.97342,474.58078
390.0,300.4684,87.676025,128.6234,472.31342
390.0,302.56177,87.94665,130.18634,474.9372
390.0,296.17993,87.11145,125.44148,466.9184
390.0,298.82758,87.46032,127.40535,470.24982
330.0,293.9782,86.82817,123.795,464.16144
330.0,295.4043,87.01688,124.85121,465.9574
330.0,294.30496,86.86987,124.04001,464.56992
330.0,293.6649,86.784164,123.56792,463.76184
330.0,294.61426,86.91258,124.265594,464.96292
330.0,294.88623,86.947784,124.46857,465.3039
330.0,293.54224,86.769394,123.47423,463.61023
330.0,294.90576,86.95113,124.48154,465.33
330.0,294.496,86.89941,124.17316,464.81885
330.0,294.80695,86.93575,124.41287,465.20102
330.0,291.61655,86.5069,122.06302,461.17007
330.0,294.01898,86.83508,123.82222,464.21576
330.0,289.79968,86.257904,120.73419,458.86517
330.0,293.51453,86.766495,123.452194,463.57684
330.0,291.07767,86.433426,121.66815,460.48718
330.0,292.7691,86.66408,122.9075,462.6307
330.0,293.76294,86.80101,123.63295,463.89294
330.0,294.0383,86.83777,123.83627,464.24033
330.0,293.26596,86.73068,123.27382,463.25812
330.0,297.62015,87.30861,126.49527,468.74503
