true,predicted,predicted_std,lower_95CI,upper_95CI
935.17,741.7365,215.94318,318.48788,1164.9851
935.17,719.0069,212.10886,303.27353,1134.7402
935.17,717.75885,211.85443,302.52417,1132.9935
935.17,710.4697,210.78198,297.33704,1123.6024
935.17,730.957,214.1146,311.29236,1150.6216
935.17,730.07794,213.92519,310.78458,1149.3713
935.17,716.26215,211.59154,301.54272,1130.9816
935.17,715.08496,211.50508,300.535,1129.6349
935.17,706.47784,210.03052,294.81802,1118.1377
935.17,700.3537,209.7643,289.21567,1111.4917
935.17,712.5539,211.1971,298.60757,1126.5002
935.17,703.64435,209.6425,292.74503,1114.5437
935.17,709.37823,210.61903,296.5649,1122.1915
935.17,700.6292,209.10597,290.7815,1110.4769
935.17,713.47626,211.33069,299.2681,1127.6844
935.17,709.3227,210.55266,296.63947,1122.0059
935.17,707.3259,210.3316,295.076,1119.5759
935.17,699.70337,208.99413,290.0749,1109.3318
935.17,698.7265,209.11145,288.86804,1108.585
935.17,702.0265,210.43211,289.57953,1114.4734
851.09,647.2259,200.85345,253.5531,1040.8987
851.09,643.9112,200.24564,251.42975,1036.3926
851.09,622.94006,196.64006,237.52554,1008.3546
851.09,638.47406,199.31892,247.80896,1029.1392
851.09,643.399,200.19609,251.01465,1035.7833
851.09,658.288,202.64636,261.10114,1055.4749
851.09,640.3707,199.77069,248.82016,1031.9213
851.09,640.2888,199.64899,248.9768,1031.6008
851.09,662.4139,203.59244,263.37268,1061.4551
851.09,664.15125,204.06392,264.18594,1064.1166
851.09,638.8029,199.51956,247.74457,1029.8613
851.09,623.3909,196.89368,237.47931,1009.30255
851.09,646.716,200.90202,252.94803,1040.484
851.09,634.30194,198.75146,244.74905,1023.85486
851.09,646.14294,200.79591,252.58295,1039.7029
851.09,624.8399,197.16556,238.39542,1011.2844
851.09,650.6518,201.41473,255.8789,1045.4247
851.09,625.51337,197.24155,238.91992,1012.1068
851.09,633.61774,198.63275,244.29755,1022.9379
851.09,656.4703,202.60164,259.37106,1053.5695
516.48,403.09293,152.84862,103.50964,702.6762
516.48,419.4245,156.69276,112.30667,726.54236
516.48,402.4596,152.80505,102.96167,701.9575
516.48,412.6803,155.36598,108.162964,717.19763
516.48,400.649,152.30914,102.12305,699.1749
516.48,414.7967,155.82182,109.385925,720.20746
516.48,415.21832,155.54285,110.35434,720.0823
516.48,416.11847,156.12042,110.12244,722.1145
516.48,409.18015,154.45049,106.457184,711.9031
516.48,437.89972,160.71802,122.892395,752.90704
516.48,413.7664,155.51103,108.96475,718.568
516.48,414.64853,156.12296,108.64752,720.64954
516.48,406.4305,153.71591,105.14731,707.71375
516.48,413.50677,155.55278,108.62332,718.39026
516.48,408.5131,154.2762,106.131744,710.8944
516.48,416.28488,156.4041,109.73285,722.8369
516.48,408.23795,154.54236,105.33493,711.141
516.48,412.78802,155.59277,107.82617,717.7499
516.48,409.60413,155.03156,105.74228,713.46594
516.48,435.34644,160.83447,120.11087,750.58203
862.39,646.9737,200.2083,254.56543,1039.382
862.39,648.841,200.54082,255.781,1041.901
862.39,625.0593,196.40344,240.10858,1010.0101
862.39,617.2646,195.04608,234.97427,999.55493
862.39,635.7886,198.28943,247.1413,1024.4358
862.39,679.28986,205.64551,276.22464,1082.3551
862.39,630.0547,197.41637,243.11859,1016.9908
862.39,628.342,197.0199,242.18298,1014.501
862.39,636.94916,198.2827,248.31506,1025.5833
862.39,656.11487,201.99065,260.2132,1052.0166
862.39,579.3955,188.30229,210.323,948.468
862.39,637.6335,198.55814,248.45953,1026.8074
862.39,568.73785,186.20108,203.78372,933.692
862.39,611.5828,193.85054,231.63577,991.5299
862.39,573.1412,187.09482,206.43533,939.84705
862.39,638.6818,198.73384,249.16348,1028.2002
862.39,627.4987,196.65302,242.0588,1012.9386
862.39,625.2679,196.37918,240.36469,1010.1711
862.39,594.85815,191.03682,220.426,969.2903
862.39,644.4751,200.08958,252.2995,1036.6506
795.85,662.73627,202.89748,265.05722,1060.4153
795.85,647.5359,200.25519,255.0357,1040.0361
795.85,648.61884,200.29921,256.03238,1041.2053
795.85,629.741,196.9211,243.77567,1015.7064
795.85,659.5316,202.2687,263.08493,1055.9783
795.85,619.8847,195.51651,236.67233,1003.09705
795.85,680.9954,205.9289,277.3748,1084.6161
795.85,638.0649,198.49963,249.00558,1027.1241
795.85,627.3758,196.44232,242.34885,1012.4027
795.85,626.4179,196.13776,241.98788,1010.8479
795.85,673.90106,204.7879,272.51675,1075.2854
795.85,669.67487,204.13759,269.5652,1069.7845
795.85,661.804,202.61003,264.68835,1058.9197
795.85,644.0409,199.70679,252.61557,1035.4662
795.85,660.8391,202.56387,263.8139,1057.8643
795.85,671.89056,204.57054,270.93228,1072.8489
795.85,653.03265,201.26274,258.55768,1047.5076
795.85,655.96356,201.79135,260.4525,1051.4746
795.85,632.85345,197.42285,245.90466,1019.80225
795.85,589.5196,189.91595,217.2843,961.7549
549.27,373.6452,146.11159,87.26648,660.0239
549.27,388.797,149.79137,95.2059,682.38806
549.27,368.8006,144.92346,84.75061,652.8506
549.27,381.82043,148.02818,91.68518,671.9557
549.27,368.55222,144.84395,84.65808,652.44635
549.27,379.63458,147.59401,90.35031,668.9188
549.27,370.56854,145.26047,85.85803,655.27905
549.27,383.48087,148.47057,92.478546,674.48315
549.27,392.9878,150.83978,97.34183,688.6338
549.27,418.4986,157.00188,110.7749,726.2223
549.27,385.92865,149.2298,93.43823,678.41907
549.27,386.43002,149.33786,93.72781,679.1322
549.27,381.8802,148.23119,91.347046,672.4133
549.27,381.87567,148.19026,91.42276,672.3286
549.27,381.0491,148.02536,90.9194,671.17883
549.27,384.60913,148.92705,92.7121,676.50616
549.27,393.34528,151.00595,97.3736,689.31696
549.27,382.16214,148.28427,91.52496,672.7993
549.27,403.56305,153.31886,103.058075,704.068
549.27,439.11496,161.30789,122.95148,755.27844
855.2,564.6504,185.38425,201.29727,928.00354
855.2,605.87805,192.90016,227.79373,983.9624
855.2,553.82367,183.20935,194.73334,912.914
855.2,577.5003,187.82567,209.362,945.6386
855.2,564.85016,185.33777,201.58813,928.1122
855.2,603.1403,192.36795,226.09912,980.1815
855.2,644.3654,199.6786,252.99533,1035.7355
855.2,597.8505,191.44243,222.62335,973.0777
855.2,650.131,200.5214,257.10904,1043.153
855.2,574.9787,187.44907,207.57852,942.3789
