true,predicted,predicted_std,lower_95CI,upper_95CI
4803.0,3269.1162,1488.9163,350.84033,6187.392
4803.0,3238.6396,1482.2277,333.4734,6143.8057
4803.0,3214.7126,1476.9456,319.8994,6109.526
4803.0,3246.9324,1484.0544,338.18555,6155.679
4803.0,3245.337,1483.7042,337.2766,6153.3975
4803.0,3244.6833,1483.5592,336.90723,6152.4595
4803.0,3214.8123,1476.9673,319.9563,6109.668
4803.0,3243.2488,1483.243,336.0923,6150.4053
4803.0,3225.17,1479.2566,325.8269,6124.5127
4803.0,3323.9202,1500.8245,382.3042,6265.536
4803.0,3268.1724,1488.709,350.30273,6186.042
4803.0,3262.7305,1487.5168,347.1975,6178.2637
4803.0,3249.2383,1484.5605,339.4995,6158.977
4803.0,3249.7185,1484.6625,339.78003,6159.657
4803.0,3261.4353,1487.236,346.45288,6176.418
4803.0,3255.9292,1486.0266,343.3169,6168.5415
4803.0,3268.7424,1488.8339,350.62793,6186.857
4803.0,3259.6675,1486.8467,345.448,6173.8867
4803.0,3291.7861,1493.8586,363.82324,6219.749
4803.0,3418.0867,1520.9221,437.07935,6399.0938
3880.0,3353.263,1507.1389,399.2705,6307.2554
3880.0,3347.8843,1505.9838,396.156,6299.6123
3880.0,3337.3853,1503.7291,390.07617,6284.6943
3880.0,3344.9653,1505.3577,394.46436,6295.4663
3880.0,3353.3928,1507.167,399.34546,6307.4404
3880.0,3333.8374,1502.9628,388.03027,6279.6445
3880.0,3352.9749,1507.0757,399.10645,6306.8433
3880.0,3351.674,1506.797,398.3518,6304.996
3880.0,3395.8848,1516.2263,424.08105,6367.6885
3880.0,3393.9695,1515.8201,422.96216,6364.9766
3880.0,3383.8455,1513.6677,417.05664,6350.6343
3880.0,3399.8052,1517.0594,426.36865,6373.2417
3880.0,3381.2634,1513.1177,415.55273,6346.974
3880.0,3391.327,1515.26,421.41724,6361.2363
3880.0,3385.8486,1514.0935,418.22534,6353.4717
3880.0,3396.65,1516.3905,424.5244,6368.7754
3880.0,3350.7898,1506.6072,397.8396,6303.74
3880.0,3394.639,1515.9631,423.35107,6365.927
3880.0,3392.305,1515.4673,421.989,6362.621
