true,predicted,predicted_std,lower_95CI,upper_95CI
205.31,118.67963,60.051723,0.9782486,236.38101
205.31,117.14316,59.375114,0.7679291,233.51839
205.31,116.50459,59.08489,0.69821167,232.31097
205.31,117.53137,59.55125,0.8109207,234.25183
205.31,117.73558,59.634766,0.8514404,234.61972
205.31,117.517334,59.538555,0.8217621,234.2129
205.31,116.438095,59.05568,0.68896484,232.18723
205.31,117.363205,59.47463,0.7929306,233.93347
205.31,116.600235,59.13658,0.6925354,232.50793
205.31,121.401924,61.257866,1.3365021,241.46735
205.31,118.10663,59.814407,0.8703842,235.34286
205.31,117.463715,59.533817,0.7774277,234.15
205.31,117.55125,59.562496,0.80875397,234.29373
205.31,117.07179,59.35629,0.7334671,233.41013
205.31,117.97838,59.754547,0.85946655,235.09729
205.31,117.36958,59.48688,0.77529144,233.96387
205.31,118.05216,59.79225,0.8593445,235.24498
205.31,117.398384,59.504475,0.7696152,234.02716
205.31,119.27538,60.330353,1.0278854,237.52289
205.31,124.43405,62.54091,1.8538666,247.01424
148.71,121.02797,61.147873,1.1781387,240.8778
148.71,120.82504,61.054756,1.1577148,240.49237
148.71,120.533295,60.93057,1.109375,239.95721
148.71,120.79765,61.04116,1.1569748,240.43832
148.71,121.06324,61.16108,1.1875229,240.93896
148.71,120.48241,60.89423,1.129715,239.8351
148.71,121.32567,61.268936,1.2385483,241.41278
148.71,120.99237,61.12875,1.1800156,240.80472
148.71,122.74644,61.869133,1.482933,244.00995
148.71,123.12979,62.026196,1.5584488,244.70114
148.71,122.25838,61.659588,1.4055862,243.11118
148.71,122.60054,61.818855,1.435585,243.7655
148.71,122.21837,61.64345,1.3972015,243.03954
148.71,122.3314,61.70159,1.3962784,243.26651
148.71,122.38037,61.709534,1.4296799,243.33105
148.71,122.56805,61.804443,1.4313354,243.70476
148.71,120.9901,61.1242,1.1866684,240.79352
148.71,122.41405,61.73873,1.4061279,243.42197
148.71,122.37666,61.71786,1.4096527,243.34367
148.71,122.556274,61.783493,1.4606247,243.65192
84.68,109.31952,55.954853,-0.35199738,218.99103
84.68,111.81165,57.079254,-0.063690186,223.687
84.68,110.80881,56.6302,-0.18638611,221.804
84.68,113.20142,57.709972,0.08987427,226.31297
84.68,110.01883,56.27364,-0.27750397,220.31516
84.68,113.17317,57.694065,0.092803955,226.25354
84.68,109.16553,55.889095,-0.37709808,218.70816
84.68,113.23163,57.722767,0.09500122,226.36826
84.68,111.95133,57.13584,-0.03491974,223.93759
84.68,112.47585,57.37607,0.018760681,224.93295
84.68,112.177704,57.255325,-0.04273224,224.39813
84.68,115.96042,58.967125,0.38484955,231.53598
84.68,110.17743,56.3571,-0.2824936,220.63736
84.68,113.14375,57.688236,0.07480621,226.2127
84.68,111.30324,56.863396,-0.14901733,222.7555
84.68,115.29916,58.66549,0.31479645,230.28351
84.68,114.48857,58.311188,0.19863892,228.7785
84.68,114.871254,58.473072,0.26403046,229.47849
84.68,116.361435,59.1394,0.44820404,232.27466
84.68,118.20438,59.95959,0.6835785,235.72517
183.33,116.54964,59.139767,0.6356888,232.4636
183.33,116.77958,59.24344,0.66243744,232.89673
183.33,115.940125,58.871433,0.5521164,231.32812
183.33,115.85303,58.837868,0.5308075,231.17525
183.33,116.36893,59.06187,0.6076584,232.13019
183.33,116.97152,59.321148,0.7020645,233.24097
183.33,117.33077,59.49437,0.7218094,233.93973
183.33,116.45143,59.10354,0.60849,232.29437
183.33,114.54515,58.232693,0.40907288,228.68123
183.33,118.354416,59.944435,0.8633194,235.84552
183.33,115.24396,58.56806,0.4505539,230.03735
183.33,116.325485,59.02803,0.63054657,232.02042
183.33,113.50691,57.789112,0.24024963,226.77357
183.33,114.166214,58.063416,0.3619156,227.97052
183.33,114.47395,58.223534,0.35582733,228.59207
183.33,116.35875,59.040558,0.6392517,232.07825
183.33,114.75337,58.32387,0.43858337,229.06816
183.33,115.73894,58.76808,0.5534973,230.92438
183.33,114.877686,58.40399,0.4058609,229.34952
183.33,118.62503,60.057625,0.9120865,236.33798
167.14,116.37485,59.04802,0.6407242,232.10898
167.14,115.63118,58.716232,0.5473633,230.715
167.14,114.579704,58.247272,0.4150467,228.74435
167.14,112.92137,57.501785,0.21787262,225.62488
167.14,115.62834,58.71506,0.5468216,230.70987
167.14,115.58679,58.70218,0.5305176,230.64307
167.14,116.581696,59.134773,0.677536,232.48586
167.14,114.40216,58.16684,0.39514923,228.40918
167.14,112.866066,57.47643,0.21226501,225.51987
167.14,110.48237,56.404686,-0.07081604,221.03555
167.14,116.85817,59.26525,0.6982727,233.01807
167.14,117.23874,59.4344,0.74731445,233.73016
167.14,115.441925,58.63333,0.52059174,230.36325
167.14,116.157776,58.958355,0.59939575,231.71616
167.14,116.43053,59.075928,0.6417084,232.21935
167.14,118.015015,59.787865,0.8307953,235.19923
167.14,116.15788,58.952534,0.61091614,231.70485
167.14,116.769615,59.227875,0.68297577,232.85626
167.14,112.96796,57.51755,0.23355103,225.70236
167.14,112.783844,57.455463,0.17113495,225.39655
68.06,114.9699,58.563423,0.18559265,229.75421
68.06,114.00575,58.11114,0.107910156,227.9036
68.06,115.29722,58.721916,0.20226288,230.39218
68.06,113.52959,57.909737,0.026504517,227.03267
68.06,115.15485,58.65408,0.1928482,230.11685
68.06,114.739876,58.454308,0.1694336,229.31032
68.06,114.27527,58.245495,0.114097595,228.43643
68.06,113.90371,58.07095,0.08464813,227.72278
68.06,114.11126,58.176212,0.085884094,228.13663
68.06,116.07379,59.038025,0.35926056,231.78833
68.06,115.32663,58.73029,0.21526337,230.43799
68.06,115.16383,58.657803,0.19454193,230.13312
68.06,115.38229,58.75875,0.2151413,230.54944
68.06,114.95134,58.565403,0.16314697,229.73953
68.06,115.392075,58.76329,0.2160263,230.56812
68.06,115.535324,58.831783,0.22502899,230.84561
68.06,114.82563,58.502857,0.16002655,229.49124
68.06,115.19616,58.675507,0.19216156,230.20016
68.06,113.07094,57.714233,-0.048957825,226.19083
68.06,115.12592,58.606556,0.25707245,229.99478
135.42,112.0568,57.153362,0.036209106,224.0774
135.42,113.55051,57.811905,0.23917389,226.86185
135.42,110.18171,56.308746,-0.18343353,220.54684
