true,predicted,predicted_std,lower_95CI,upper_95CI
57.1,85.270164,13.015481,59.75982,110.78051
57.1,85.03136,12.996927,59.55738,110.50533
57.1,84.82293,12.980766,59.380627,110.26523
57.1,85.108665,13.002934,59.622913,110.59442
57.1,85.08705,13.00127,59.60456,110.56954
57.1,85.08236,13.000895,59.600605,110.56412
57.1,84.824615,12.980892,59.382065,110.267166
57.1,85.074265,13.000262,59.59375,110.55478
57.1,84.92032,12.988317,59.46322,110.37742
57.1,85.63329,13.043728,60.06759,111.199
57.1,85.2744,13.015785,59.76346,110.78534
57.1,85.232666,13.012521,59.728127,110.737206
57.1,85.1261,13.004286,59.637695,110.6145
57.1,85.12921,13.0045,59.64039,110.618034
57.1,85.22357,13.0118475,59.720352,110.72679
57.1,85.179146,13.008376,59.682728,110.67557
57.1,85.28276,13.016427,59.77056,110.79496
57.1,85.21127,13.010864,59.709976,110.71257
57.1,85.455826,13.029878,59.917267,110.994385
57.1,86.15424,13.084182,60.509247,111.79924
60.4,85.903564,13.064593,60.29696,111.51017
60.4,85.86935,13.061936,60.267952,111.47074
60.4,85.80894,13.057257,60.216713,111.40116
60.4,85.852135,13.060604,60.25335,111.45092
60.4,85.90602,13.064783,60.299046,111.513
60.4,85.76896,13.054153,60.182816,111.3551
60.4,85.892525,13.063765,60.287544,111.497505
60.4,85.89378,13.063833,60.28867,111.4989
60.4,86.14213,13.08313,60.49919,111.785065
60.4,86.10248,13.0801115,60.46546,111.739494
60.4,86.075356,13.077938,60.442596,111.708115
60.4,86.176506,13.08577,60.528397,111.824615
60.4,86.05692,13.076513,60.426956,111.68689
60.4,86.12595,13.081848,60.48553,111.76637
60.4,86.083015,13.078537,60.44908,111.71695
60.4,86.15734,13.0842905,60.51213,111.80255
60.4,85.88329,13.063021,60.27977,111.48682
60.4,86.14684,13.0834675,60.503246,111.790436
60.4,86.12892,13.082076,60.488052,111.76979
60.4,86.075554,13.077985,60.442703,111.708405
50.0,83.31206,12.863134,58.10031,108.5238
50.0,83.91097,12.909864,58.607635,109.21431
50.0,83.634026,12.8882885,58.37298,108.89507
50.0,84.176544,12.930565,58.832634,109.520454
50.0,83.47878,12.876165,58.2415,108.716064
