true,predicted,predicted_std,lower_95CI,upper_95CI
2.4525,2.354779,0.31515867,1.7370679,2.97249
2.4525,2.2889993,0.31044373,1.6805296,2.897469
2.4525,2.2018485,0.3062087,1.6016794,2.8020177
2.4525,2.3123522,0.3120624,1.7007098,2.9239945
2.4525,2.2888768,0.31049713,1.6803024,2.8974512
2.4525,2.299497,0.31117415,1.6895955,2.9093983
2.4525,2.206107,0.30632415,1.6057115,2.8065023
2.4525,2.3016908,0.31131452,1.6915143,2.9118674
2.4525,2.2495432,0.30791667,1.6460265,2.8530598
2.4525,2.4387734,0.32199878,1.8076558,3.069891
2.4525,2.3911414,0.317728,1.7683945,3.0138884
2.4525,2.4042292,0.31863958,1.7796955,3.0287628
2.4525,2.3235373,0.31280228,1.7104449,2.9366298
2.4525,2.3562777,0.31509656,1.7386885,2.973867
2.4525,2.3629587,0.3156699,1.7442456,2.9816718
2.4525,2.3728135,0.3163162,1.7528337,2.992793
2.4525,2.3987613,0.31833127,1.774832,3.0226905
2.4525,2.3921757,0.3177424,1.7694006,3.0149508
2.4525,2.4467275,0.3222502,1.8151171,3.078338
2.4525,2.7289605,0.35035798,2.0422587,3.4156623
2.853,2.7319355,0.349956,2.0460217,3.4178493
2.853,2.7117047,0.34762856,2.0303526,3.3930569
2.853,2.6624362,0.34211615,1.9918885,3.332984
2.853,2.6907053,0.34528282,2.0139508,3.3674598
2.853,2.7298646,0.34973213,2.0443897,3.4153395
2.853,2.6346304,0.33910054,1.9699934,3.2992675
2.853,2.6815386,0.34439805,2.0065184,3.3565588
2.853,2.7215164,0.34880668,2.0378551,3.4051776
2.853,2.8736606,0.3679866,2.1524067,3.5949144
2.853,2.767002,0.3545229,2.072137,3.461867
2.853,2.8246074,0.36152118,2.116026,3.5331888
2.853,2.9499552,0.37855202,2.2079933,3.6919172
2.853,2.8030586,0.3588218,2.099768,3.5063493
2.853,2.8966012,0.3710723,2.1692996,3.6239028
2.853,2.8228767,0.36132973,2.1146703,3.531083
2.853,2.915484,0.37375116,2.1829317,3.6480362
2.853,2.7126477,0.3477618,2.0310345,3.394261
2.853,2.9211934,0.37449142,2.18719,3.6551967
2.853,2.8986387,0.37133145,2.170829,3.6264484
2.853,2.789943,0.3572451,2.0897427,3.4901433
2.878,1.8231591,0.30398265,1.2273531,2.418965
2.878,1.9528737,0.30341202,1.3581861,2.5475612
2.878,1.8836867,0.30372208,1.2883914,2.478982
2.878,2.0005484,0.30366686,1.4053613,2.5957355
2.878,1.8567973,0.30381006,1.2613297,2.452265
2.878,1.9904093,0.3036368,1.3952811,2.5855374
2.878,1.8332732,0.30385396,1.2377194,2.4288268
2.878,2.0133986,0.30369946,1.4181477,2.6086497
2.878,1.863894,0.30410996,1.2678385,2.4599495
2.878,1.9600545,0.30344716,1.365298,2.554811
2.878,2.0600698,0.30376947,1.4646816,2.655458
2.878,2.2865126,0.31073773,1.6774666,2.8955586
2.878,1.9403789,0.30319947,1.346108,2.5346498
2.878,2.0706935,0.30401367,1.4748267,2.6665602
2.878,2.0065923,0.3033593,1.412008,2.6011765
2.878,2.2225306,0.30715773,1.6205015,2.8245597
2.878,2.1828759,0.30607376,1.5829713,2.7827804
2.878,2.1938992,0.30634296,1.593467,2.7943313
2.878,2.2310553,0.30757895,1.6282005,2.83391
2.878,2.3883634,0.31815046,1.7647884,3.0119383
3.1015,2.3209603,0.3125575,1.7083476,2.933573
3.1015,2.3515139,0.31477153,1.7345617,2.968466
3.1015,2.268978,0.30913287,1.6630776,2.8748786
3.1015,2.2844617,0.31012878,1.6766093,2.8923142
3.1015,2.3080487,0.3116908,1.6971347,2.9189627
3.1015,2.3431602,0.3141597,1.7274072,2.958913
3.1015,2.3668807,0.3159948,1.7475308,2.9862304
3.1015,2.3343763,0.31354868,1.719821,2.9489317
3.1015,2.1084754,0.30422607,1.5121922,2.7047586
3.1015,2.400726,0.31855607,1.7763562,3.025096
3.1015,2.1759937,0.30558783,1.5770415,2.7749457
3.1015,2.2338223,0.30714557,1.6318171,2.8358276
3.1015,2.0817914,0.30381045,1.4863229,2.67726
3.1015,2.082548,0.3038533,1.4869955,2.6781003
3.1015,2.1382465,0.30477342,1.5408907,2.7356024
3.1015,2.2273881,0.30694878,1.6257685,2.8290076
3.1015,2.1249354,0.3045048,1.528106,2.7217648
3.1015,2.191935,0.3059376,1.5922973,2.7915728
3.1015,2.1919045,0.3058716,1.5923963,2.7914128
3.1015,2.3279757,0.3133181,1.7138722,2.9420793
2.5945,2.1875885,0.30589944,1.5880256,2.7871513
2.5945,2.1360557,0.30476832,1.5387098,2.7334018
2.5945,2.1062188,0.3041749,1.510036,2.7024016
2.5945,2.0044298,0.30310956,1.4103351,2.5985246
2.5945,2.152487,0.3051021,1.5544869,2.7504873
2.5945,2.1201873,0.30454877,1.5232717,2.717103
2.5945,2.2131648,0.3065116,1.612402,2.8139277
2.5945,2.0746562,0.303747,1.4793122,2.6700003
2.5945,2.0506465,0.30332357,1.4561324,2.6451607
2.5945,1.8270537,0.3036512,1.2318974,2.42221
2.5945,2.2764237,0.30957764,1.6696515,2.8831959
2.5945,2.2934449,0.31070027,1.6844723,2.9024174
2.5945,2.1801531,0.3055421,1.5812906,2.7790155
2.5945,2.2268522,0.30685556,1.6254153,2.828289
2.5945,2.2398882,0.30736104,1.6374605,2.842316
2.5945,2.4063282,0.31881845,1.7814441,3.0312123
2.5945,2.172143,0.30548745,1.5733876,2.7708983
2.5945,2.2612286,0.30860317,1.6563663,2.8660908
2.5945,2.014401,0.30313674,1.4202529,2.608549
2.5945,1.929563,0.30320352,1.3352841,2.5238419
1.833,2.2257264,0.30737513,1.6232711,2.8281817
1.833,2.1732354,0.30587026,1.5737298,2.772741
1.833,2.2699246,0.30979955,1.6627176,2.8771317
1.833,2.1561203,0.30551863,1.5573038,2.7549367
1.833,2.2557218,0.30895096,1.650178,2.8612657
1.833,2.2296822,0.30741253,1.6271536,2.8322108
1.833,2.1526096,0.30556267,1.5537066,2.7515125
1.833,2.1736736,0.30588764,1.5741339,2.7732134
1.833,2.1768873,0.30604202,1.577045,2.7767296
1.833,2.2633195,0.30932635,1.6570399,2.869599
1.833,2.278541,0.31022835,1.6704936,2.8865886
1.833,2.2952342,0.31133386,1.6850197,2.9054487
1.833,2.270452,0.30976176,1.6633189,2.8775852
1.833,2.2736952,0.30993566,1.6662214,2.881169
1.833,2.2758934,0.31010434,1.6680889,2.883698
1.833,2.3226085,0.3132743,1.7085909,2.936626
1.833,2.261535,0.30914804,1.6556048,2.867465
1.833,2.296281,0.31143218,1.685874,2.9066882
1.833,2.1165478,0.30473626,1.5192647,2.713831
1.833,2.236479,0.30757084,1.6336402,2.8393178
1.938,2.0431395,0.3033232,1.448626,2.6376529
1.938,2.1078289,0.30414173,1.5117111,2.7039466
1.938,1.9553895,0.3028362,1.3618305,2.5489485
1.938,2.0909035,0.30389866,1.4952621,2.686545
1.938,2.007405,0.3030272,1.4134717,2.6013384
1.938,2.073771,0.30367398,1.47857,2.668972
1.938,2.1060903,0.3042128,1.5098332,2.7023473
1.938,2.0932612,0.30389127,1.4976344,2.688888
1.938,2.1129723,0.3041693,1.5168004,2.709144
1.938,2.1051173,0.3041935,1.508898,2.7013366
1.938,2.6307983,0.3386287,1.9670861,3.2945106
1.938,2.743516,0.35147038,2.054634,3.4323978
1.938,2.4496303,0.32244024,1.8176475,3.081613
1.938,2.6795583,0.34415132,2.0050216,3.354095
1.938,2.5601244,0.3320362,1.9093335,3.2109153
1.938,2.7141237,0.34819543,2.0316606,3.396587
