true,predicted,predicted_std,lower_95CI,upper_95CI
51.0,49.55018,4.9942236,39.7615,59.338856
51.0,49.711735,4.997492,39.91665,59.50682
51.0,49.790024,4.9961495,39.99757,59.582478
51.0,49.730106,4.999213,39.93165,59.528564
51.0,49.65399,4.9950237,39.863747,59.444237
51.0,49.764957,4.9984827,39.96793,59.561985
51.0,49.769527,4.996526,39.976337,59.562717
51.0,49.77854,4.9995923,39.97934,59.577744
51.0,49.721375,4.995748,39.92971,59.51304
51.0,50.023716,5.007906,40.20822,59.83921
51.0,49.94392,5.003656,40.136753,59.751087
51.0,49.803997,5.0025187,39.99906,59.608932
51.0,50.0284,5.004323,40.219925,59.836876
51.0,49.801456,5.001747,39.99803,59.60488
51.0,49.99908,5.00413,40.190987,59.807175
51.0,49.694782,4.999587,39.89559,59.493973
51.0,49.54955,4.997429,39.75459,59.34451
51.0,49.78831,5.0024047,39.983597,59.593025
51.0,49.84926,5.0047235,40.04,59.658516
51.0,49.539852,5.00601,39.728073,59.35163
52.2,50.167633,5.0180087,40.332336,60.00293
52.2,50.265743,5.0219913,40.422638,60.10885
52.2,50.147034,5.018291,40.311184,59.982883
52.2,50.28646,5.022905,40.441566,60.131355
52.2,50.1777,5.0183115,40.34181,60.01359
52.2,50.420948,5.0230618,40.575745,60.26615
52.2,50.25072,5.023373,40.404907,60.096535
52.2,50.272873,5.0228367,40.428112,60.117634
52.2,50.205658,5.0228043,40.360962,60.050354
52.2,50.662876,5.0297027,40.804657,60.521095
52.2,50.39003,5.0264173,40.538254,60.241806
52.2,50.273293,5.02777,40.41886,60.127724
52.2,50.50208,5.029659,40.643948,60.36021
52.2,50.240555,5.026306,40.388992,60.092117
52.2,50.47432,5.028556,40.61835,60.330288
52.2,50.1279,5.024611,40.279663,59.976135
52.2,50.430447,5.025539,40.58039,60.280502
52.2,50.23698,5.0269027,40.38425,60.08971
52.2,50.26067,5.0259805,40.409748,60.11159
52.2,50.672382,5.031583,40.81048,60.534286
48.4,49.323914,5.009881,39.504547,59.14328
48.4,49.33116,5.0143933,39.502953,59.15937
48.4,49.0874,5.0083947,39.270943,58.903854
48.4,49.25188,5.015338,39.421818,59.081944
48.4,49.17136,5.0087075,39.354294,58.988426
48.4,49.252945,5.0146246,39.42428,59.08161
48.4,49.72228,5.0193796,39.884293,59.560265
48.4,49.240128,5.0149703,39.410786,59.06947
48.4,48.492477,4.999222,38.694,58.290955
48.4,50.133186,5.029814,40.27475,59.991623
48.4,49.144615,5.0109735,39.323105,58.966125
48.4,49.48807,5.0256667,39.637764,59.33838
48.4,49.17276,5.0103283,39.352516,58.993004
48.4,49.70615,5.0243626,39.8584,59.5539
48.4,49.091503,5.009899,39.272102,58.910904
48.4,49.626236,5.026509,39.774277,59.478195
48.4,49.690414,5.029612,39.832375,59.548454
48.4,49.536724,5.0244956,39.688713,59.384735
48.4,48.44162,5.0075626,38.626797,58.256443
48.4,49.919987,5.0335317,40.054264,59.78571
52.1,50.304237,5.014499,40.47582,60.132656
52.1,50.206955,5.0141597,40.379204,60.034706
52.1,49.998306,5.0090475,40.180573,59.81604
52.1,50.030643,5.0115185,40.20807,59.853218
52.1,50.12865,5.0115967,40.30592,59.95138
52.1,50.402424,5.0171723,40.568764,60.236084
52.1,50.11801,5.01379,40.29098,59.94504
52.1,50.103737,5.01334,40.27759,59.929882
52.1,50.394936,5.0125794,40.570282,60.21959
52.1,50.396492,5.0179505,40.56131,60.231674
52.1,50.617043,5.022828,40.7723,60.461784
52.1,50.44949,5.016366,40.617413,60.281567
52.1,50.654427,5.022942,40.80946,60.499393
52.1,50.532146,5.0162888,40.70022,60.364075
52.1,50.646095,5.023327,40.800373,60.491817
52.1,50.529625,5.0170093,40.696285,60.362965
52.1,50.4991,5.01482,40.67005,60.328148
52.1,50.448868,5.0163136,40.616894,60.28084
52.1,50.04466,5.009173,40.22668,59.862637
52.1,51.108215,5.031909,41.245674,60.970757
49.9,50.329174,5.010956,40.5077,60.150646
49.9,50.768566,5.0183897,40.93252,60.60461
49.9,50.257175,5.007438,40.442596,60.071754
49.9,50.66035,5.0130157,40.83484,60.485863
49.9,50.30164,5.009517,40.482986,60.120293
49.9,50.56286,5.0156803,40.732124,60.393593
49.9,50.181995,5.0033092,40.37551,59.98848
49.9,50.77568,5.0173936,40.94159,60.60977
49.9,50.56888,5.01227,40.744827,60.39293
49.9,51.272625,5.0212183,41.431038,61.114212
49.9,50.655773,5.0182676,40.81997,60.491577
49.9,50.746582,5.0196233,40.90812,60.585045
49.9,50.743397,5.017038,40.910004,60.57679
49.9,50.624725,5.0159683,40.793427,60.456024
49.9,50.682602,5.018284,40.846764,60.51844
49.9,50.568375,5.0175457,40.733986,60.402763
49.9,50.7379,5.0168676,40.90484,60.57096
49.9,50.71468,5.0186687,40.87809,60.55127
49.9,50.597694,5.0112834,40.775578,60.41981
49.9,50.90417,5.020188,41.0646,60.74374
54.1,49.153316,5.029404,39.295685,59.01095
54.1,49.203915,5.0235677,39.35772,59.05011
54.1,49.423717,5.0385313,39.548195,59.29924
54.1,49.36771,5.0311203,39.506714,59.228706
54.1,49.267056,5.034017,39.400383,59.133728
54.1,49.026264,5.0249248,39.17741,58.87512
54.1,49.581036,5.0347724,39.712883,59.44919
54.1,49.29945,5.0272427,39.446053,59.152847
54.1,48.857647,5.0246997,39.009235,58.70606
54.1,49.375793,5.02563,39.52556,59.22603
54.1,50.11692,5.049251,40.22039,60.01345
54.1,49.556328,5.0391364,39.67962,59.433037
54.1,50.082718,5.0506067,40.18353,59.981907
54.1,49.7107,5.044504,39.82347,59.59793
54.1,50.07707,5.050715,40.177666,59.97647
54.1,49.63566,5.0442214,39.748985,59.52233
54.1,49.67314,5.039963,39.794815,59.551468
54.1,49.58513,5.0417137,39.70337,59.46689
54.1,49.97356,5.0468287,40.081776,59.865345
54.1,50.052895,5.0340323,40.18619,59.919598
50.2,50.145924,5.0122867,40.321842,59.970005
50.2,50.078815,5.0088687,40.261433,59.8962
50.2,50.272583,5.0119724,40.449116,60.09605
50.2,50.19852,5.0140233,40.371033,60.02601
50.2,50.22329,5.0121117,40.39955,60.047028
50.2,50.129627,5.0089645,40.312057,59.947197
50.2,50.552883,5.014443,40.724575,60.38119
50.2,50.1149,5.00992,40.295456,59.93434
50.2,50.209335,5.0057735,40.398018,60.020653
50.2,50.69106,5.0240393,40.84394,60.538177
50.2,49.7323,5.002162,39.928062,59.536537
50.2,49.734432,5.006502,39.921688,59.547176
50.2,49.85767,5.002436,40.052895,59.662445
50.2,50.118145,5.014266,40.290184,59.946106
50.2,49.729702,5.0009737,39.927795,59.53161
50.2,49.17871,5.0023184,39.37417,58.983253
50.2,49.646755,4.997973,39.850727,59.442783
50.2,49.926373,5.0107656,40.10527,59.747475
50.2,50.419186,5.0104027,40.598797,60.239574
50.2,50.12106,5.0099936,40.30147,59.940647
50.9,50.13563,5.014561,40.30709,59.964172
50.9,50.18413,5.0173364,40.35015,60.018112
50.9,50.10705,5.0138035,40.28,59.934105
50.9,50.17611,5.0153236,40.346077,60.00614
50.9,50.08819,5.014026,40.260696,59.91568
50.9,50.235523,5.0186524,40.398964,60.072083
50.9,50.469284,5.0258007,40.618713,60.319855
50.9,50.16969,5.0169744,40.33642,60.00296
50.9,49.540443,5.000004,39.740437,59.34045
50.9,50.55879,5.0218344,40.715992,60.401585
50.9,49.596195,4.997607,39.800884,59.391506
50.9,49.686203,5.002366,39.881565,59.49084
50.9,49.491627,4.9939046,39.703575,59.27968
50.9,49.640816,5.0018764,39.83714,59.444492
50.9,49.52162,4.9962215,39.729027,59.314217
50.9,49.962376,5.005534,40.151527,59.773224
50.9,49.95614,5.0087147,40.139057,59.77322
50.9,49.63713,5.002014,39.833183,59.44108
50.9,50.091698,5.0105476,40.271023,59.912373
50.9,49.84729,5.012115,40.023544,59.671036
51.7,48.555134,4.993535,38.767807,58.34246
51.7,49.095207,4.996832,39.301414,58.889
51.7,48.5389,4.9953628,38.747986,58.32981
51.7,49.14501,4.9976397,39.34964,58.940384
51.7,48.551937,4.9941907,38.76332,58.340553
51.7,49.45837,5.0028424,39.652798,59.263943
51.7,49.371254,5.0060425,39.55941,59.183098
51.7,49.141685,4.9967895,39.347977,58.935394
51.7,49.19966,5.006056,39.38779,59.01153
51.7,49.601177,5.01201,39.777637,59.424717
51.7,49.135616,5.002828,39.330074,58.94116
51.7,49.04429,5.000646,39.243023,58.845554
51.7,49.18713,5.0040083,39.379272,58.994987
51.7,49.306374,5.0043964,39.497757,59.11499
51.7,49.13026,5.003135,39.324116,58.936405
51.7,49.240116,4.9998627,39.440384,59.03985
51.7,49.39823,5.0074034,39.58372,59.21274
51.7,49.097366,5.001977,39.29349,58.90124
51.7,50.06657,5.0184207,40.230465,59.902676
51.7,50.07918,5.0176215,40.244644,59.91372
48.1,50.279472,5.016512,40.44711,60.111835
48.1,50.28634,5.016263,40.454464,60.118214
48.1,50.34989,5.018923,40.512802,60.18698
48.1,50.550762,5.02277,40.70613,60.395393
48.1,50.28418,5.017331,40.45021,60.11815
48.1,50.54885,5.020821,40.708042,60.38966
48.1,50.46928,5.020793,40.628525,60.310036
48.1,50.381268,5.018918,40.54419,60.218346
48.1,50.120075,5.017922,40.28495,59.9552
48.1,50.27612,5.02282,40.431393,60.120846
48.1,50.062767,5.0107,40.241795,59.88374
48.1,50.391476,5.01937,40.55351,60.229443
48.1,50.224167,5.0141454,40.396442,60.05189
48.1,50.477596,5.020748,40.63693,60.318264
48.1,50.120304,5.0123677,40.296062,59.944546
48.1,50.677185,5.023827,40.830482,60.523888
48.1,50.262257,5.017565,40.42783,60.096684
48.1,50.399452,5.0195594,40.561115,60.23779
48.1,50.134857,5.0200377,40.29558,59.974133
48.1,50.29114,5.022973,40.446114,60.13617
50.2,49.032032,5.017646,39.197445,58.86662
50.2,48.82276,5.0105257,39.00213,58.643394
50.2,49.018284,5.019299,39.180458,58.85611
50.2,48.84803,5.0148196,39.018982,58.67708
50.2,49.067577,5.018575,39.23117,58.903984
50.2,48.91341,5.0087714,39.09622,58.730602
50.2,49.040337,5.0149326,39.211067,58.869606
50.2,48.747593,5.011023,38.925987,58.5692
50.2,49.661217,5.021386,39.819298,59.503136
50.2,47.966976,5.0038514,38.159428,57.774525
50.2,49.28402,5.015769,39.45311,59.11493
50.2,49.071648,5.010582,39.250908,58.892387
50.2,49.15437,5.0143046,39.326332,58.982407
50.2,49.387756,5.015891,39.55661,59.218903
50.2,49.17433,5.0150065,39.344917,59.003746
50.2,49.35526,5.013455,39.528885,59.181633
50.2,49.568478,5.0133123,39.742386,59.39457
50.2,49.17122,5.012601,39.34652,58.99592
50.2,49.531395,5.0136538,39.704636,59.358154
50.2,48.5666,5.0024996,38.761703,58.3715
41.7,49.628357,5.0178556,39.793358,59.463356
41.7,49.45456,5.0179567,39.61936,59.289757
41.7,49.73372,5.021483,39.891613,59.575825
41.7,49.696503,5.0219817,39.853416,59.53959
41.7,49.640923,5.0195875,39.802532,59.479313
41.7,49.692074,5.020695,39.85151,59.53264
41.7,49.75009,5.024625,39.901825,59.59836
41.7,49.52759,5.019763,39.688858,59.366325
41.7,49.966354,5.028895,40.10972,59.82299
41.7,50.121105,5.0319204,40.25854,59.98367
41.7,50.09325,5.0334296,40.22773,59.95877
41.7,49.970642,5.0292,40.11341,59.827873
41.7,50.065468,5.029685,40.207283,59.923653
41.7,50.04518,5.026411,40.193417,59.896946
41.7,50.06908,5.03146,40.20742,59.93074
41.7,49.79764,5.027053,39.94462,59.650665
41.7,50.0461,5.0303373,40.186638,59.905563
41.7,49.975163,5.02788,40.120518,59.829807
41.7,49.474533,5.017129,39.64096,59.308105
41.7,50.26162,5.039328,40.384537,60.138702
52.5,49.91563,5.1642914,39.793617,60.037643
52.5,50.428467,5.1686687,40.297874,60.55906
52.5,49.553387,5.155357,39.448887,59.657887
52.5,50.115383,5.1621356,39.997597,60.23317
52.5,49.524017,5.155559,39.41912,59.628914
52.5,50.3555,5.1674027,40.22739,60.48361
52.5,50.31653,5.162465,40.198097,60.43496
52.5,50.27458,5.1673603,40.146553,60.402603
52.5,50.96695,5.1859264,40.802532,61.131367
52.5,50.98642,5.175588,40.842266,61.130573
52.5,50.822887,5.185055,40.66018,60.985596
52.5,50.451485,5.1763005,40.305935,60.597034
52.5,50.753994,5.1824245,40.596443,60.911545
52.5,50.173702,5.170795,40.038944,60.30846
52.5,50.607647,5.180851,40.45318,60.762115
