true,predicted,predicted_std,lower_95CI,upper_95CI
176.0,202.17598,10.4561405,181.68195,222.67001
176.0,202.18414,10.456355,181.68968,222.6786
176.0,202.18263,10.45633,181.68823,222.67703
176.0,202.18178,10.45629,181.68745,222.6761
176.0,202.17914,10.456228,181.68494,222.67334
176.0,202.18169,10.45629,181.68736,222.67601
176.0,202.18338,10.456347,181.68893,222.67783
176.0,202.18277,10.456318,181.68839,222.67715
176.0,202.18599,10.456408,181.69144,222.68054
176.0,202.1534,10.455557,181.6605,222.64629
176.0,202.18333,10.45632,181.68895,222.67772
176.0,202.18967,10.456477,181.69498,222.68436
176.0,202.1829,10.45632,181.68852,222.67729
176.0,202.18944,10.456477,181.69475,222.68413
176.0,202.18233,10.456298,181.68799,222.67667
176.0,202.1883,10.456448,181.69365,222.68294
176.0,202.18362,10.456327,181.68922,222.67802
176.0,202.18907,10.456465,181.6944,222.68375
176.0,202.1757,10.4561205,181.6817,222.66971
176.0,202.14046,10.455191,181.64828,222.63263
176.0,202.17531,10.456079,181.6814,222.66922
176.0,202.17542,10.456083,181.68149,222.66934
176.0,202.1745,10.456066,181.6806,222.6684
176.0,202.17363,10.456038,181.6798,222.66747
176.0,202.17468,10.45606,181.6808,222.66856
176.0,202.17448,10.456068,181.68059,222.66838
176.0,202.16673,10.455866,181.67323,222.66023
176.0,202.17393,10.456043,181.68008,222.66779
176.0,202.16624,10.455832,181.67282,222.65967
176.0,202.1556,10.455575,181.66266,222.64853
176.0,202.16869,10.455898,181.67513,222.66225
176.0,202.1705,10.455934,181.67688,222.66412
176.0,202.1669,10.455854,181.67343,222.66037
176.0,202.17056,10.455938,181.67693,222.6642
176.0,202.16716,10.455859,181.67368,222.66064
176.0,202.16855,10.455887,181.67502,222.66208
176.0,202.17372,10.456038,181.67989,222.66756
176.0,202.17084,10.455944,181.67719,222.66449
176.0,202.17088,10.455946,181.67723,222.66454
176.0,202.16275,10.4557495,181.66948,222.65602
176.0,202.18248,10.456395,181.68794,222.67702
176.0,202.17886,10.45628,181.68456,222.67317
176.0,202.17801,10.456272,181.68372,222.6723
176.0,202.17212,10.456103,181.67816,222.66608
176.0,202.18118,10.456358,181.68672,222.67564
176.0,202.17134,10.456085,181.67741,222.66527
176.0,202.18423,10.456437,181.68962,222.67885
176.0,202.17369,10.4561405,181.67966,222.66772
176.0,202.16548,10.455958,181.6718,222.65916
176.0,202.17448,10.456168,181.68039,222.66858
