true,predicted,predicted_std,lower_95CI,upper_95CI
406.0,308.51434,87.354126,137.30025,479.72845
406.0,307.14285,87.22738,136.17719,478.10852
406.0,305.7645,87.097534,135.05333,476.47565
406.0,307.57675,87.26798,136.53151,478.622
406.0,307.42114,87.2535,136.40428,478.438
406.0,307.43375,87.2545,136.41492,478.45258
406.0,305.7826,87.0992,135.06816,476.497
406.0,307.38556,87.25013,136.3753,478.3958
406.0,306.43832,87.161354,135.60207,477.2746
406.0,310.27496,87.511925,138.75159,481.79834
406.0,308.6494,87.36636,137.41133,479.8875
406.0,308.49442,87.35187,137.28474,479.7041
406.0,307.71844,87.28105,136.64758,478.7893
406.0,307.83582,87.2915,136.74448,478.92715
406.0,308.32065,87.33642,137.14127,479.50003
406.0,308.13983,87.31947,136.99367,479.286
406.0,308.686,87.36974,137.4413,479.93073
406.0,308.34464,87.338295,137.16158,479.5277
406.0,309.58557,87.45119,138.18124,480.9899
406.0,313.0126,87.74286,141.03659,484.98862
385.0,312.184,87.67612,140.33879,484.02917
385.0,311.98834,87.65973,140.17528,483.8014
385.0,311.5965,87.62696,139.84766,483.34534
385.0,311.84793,87.64806,140.05772,483.63812
385.0,312.17862,87.67565,140.33434,484.0229
385.0,311.41476,87.61113,139.69695,483.13257
385.0,311.95294,87.65709,140.14505,483.76083
385.0,312.09375,87.66863,140.26323,483.92426
385.0,313.3627,87.77278,141.32805,485.39734
385.0,312.96756,87.74065,140.9959,484.9392
385.0,313.02225,87.74516,141.04172,485.00278
385.0,313.6068,87.79258,141.53336,485.68027
385.0,312.89658,87.735,140.93597,484.85718
385.0,313.3337,87.770645,141.30324,485.3642
385.0,313.04575,87.747086,141.06146,485.03003
385.0,313.45944,87.7809,141.40887,485.51
385.0,312.04993,87.66487,140.22678,483.87308
385.0,313.44672,87.77977,141.39836,485.49506
385.0,313.35675,87.77236,141.32292,485.39056
385.0,312.92615,87.73738,140.96088,484.89142
279.0,294.17706,85.90777,125.79784,462.55627
279.0,298.65915,86.39353,129.32782,467.99048
279.0,296.50732,86.16492,127.624084,465.39056
279.0,300.50757,86.585594,130.7998,470.21533
279.0,295.3971,86.04314,126.75255,464.04163
279.0,300.28238,86.5626,130.61967,469.94507
279.0,294.31335,85.922226,125.90579,462.72092
279.0,300.78577,86.613594,131.02312,470.5484
279.0,296.74103,86.19249,127.80374,465.6783
279.0,299.23724,86.454315,129.78679,468.68768
279.0,301.02072,86.635155,131.21582,470.82562
279.0,306.4942,87.17178,135.6375,477.3509
279.0,297.33698,86.251236,128.28455,466.3894
279.0,301.81018,86.71587,131.84706,471.77332
279.0,299.44,86.47316,129.9526,468.9274
279.0,305.37592,87.06548,134.72757,476.02426
279.0,304.40726,86.97233,133.9415,474.87302
279.0,304.76694,87.00692,134.23337,475.3005
279.0,306.00272,87.12599,135.23576,476.76965
279.0,308.55585,87.36295,137.32446,479.78723
425.0,307.2269,87.23566,136.24501,478.2088
425.0,307.65182,87.2751,136.59262,478.71103
425.0,306.33865,87.15254,135.51967,477.15765
425.0,306.4704,87.16497,135.62706,477.31372
425.0,306.99216,87.213905,136.0529,477.9314
425.0,307.661,87.27585,136.60034,478.72168
425.0,308.059,87.31331,136.9249,479.19308
425.0,307.30936,87.243515,136.31206,478.30664
425.0,303.31415,86.86072,133.06714,473.56116
425.0,308.83636,87.38449,137.56276,480.11
425.0,304.77036,87.0036,134.2433,475.29742
425.0,306.09387,87.129524,135.32,476.86774
425.0,302.25937,86.75686,132.21593,472.3028
425.0,302.65567,86.79579,132.53592,472.77542
425.0,303.76895,86.90608,133.43303,474.10486
425.0,306.02982,87.12341,135.26793,476.7917
425.0,303.70026,86.8985,133.3792,474.0213
425.0,305.24252,87.04838,134.6277,475.85736
425.0,304.8084,87.006546,134.27557,475.34125
425.0,308.23108,87.329636,137.06499,479.39716
368.0,305.51462,87.0747,134.8482,476.18103
368.0,304.37408,86.96474,133.9232,474.82495
368.0,303.30554,86.8598,133.06033,473.55075
368.0,300.45895,86.57441,130.7731,470.1448
368.0,304.61777,86.98821,134.12086,475.1147
368.0,304.0847,86.937126,133.68791,474.48145
368.0,305.98242,87.11884,135.22949,476.73535
368.0,302.67874,86.79811,132.55444,472.80304
368.0,301.30112,86.65883,131.44981,471.1524
368.0,295.00323,85.99494,126.45314,463.55334
368.0,306.9016,87.205376,135.97906,477.82416
368.0,307.27713,87.240524,136.2857,478.26855
368.0,304.96524,87.02115,134.4038,475.52667
368.0,305.9631,87.11702,135.21375,476.71246
368.0,306.25873,87.14498,135.45456,477.0629
368.0,308.78036,87.37862,137.51828,480.04245
368.0,305.20947,87.04539,134.60051,475.81842
368.0,306.69394,87.18608,135.80922,477.57867
368.0,300.6859,86.597115,130.95557,470.41626
368.0,298.78552,86.40396,129.43376,468.13727
252.0,305.23383,87.053734,134.6085,475.85913
252.0,303.998,86.93298,133.60933,474.38666
252.0,305.96442,87.1237,135.20195,476.72687
252.0,303.46448,86.88118,133.17737,473.7516
252.0,305.71323,87.09974,134.99774,476.4287
252.0,305.178,87.0478,134.56432,475.7917
252.0,303.82877,86.91781,133.46986,474.18768
252.0,303.9474,86.928215,133.56808,474.3267
252.0,304.09814,86.943634,133.68861,474.5077
252.0,306.29962,87.15437,135.47705,477.1222
252.0,306.11398,87.13729,135.32489,476.90308
252.0,306.2054,87.14573,135.39978,477.01105
252.0,306.04095,87.13073,135.26472,476.8172
252.0,305.85016,87.11228,135.11008,476.59024
252.0,306.1082,87.13704,135.31958,476.8968
252.0,306.68445,87.1912,135.78969,477.57922
252.0,305.6459,87.09247,134.94466,476.34717
252.0,306.22824,87.148094,135.41797,477.0385
252.0,302.566,86.79294,132.45184,472.68018
252.0,305.51578,87.07889,134.84116,476.1904
390.0,300.64697,86.593605,130.92351,470.37042
390.0,302.73212,86.80321,132.59782,472.8664
390.0,297.64807,86.279205,128.54083,466.7553
390.0,302.22632,86.75334,132.18976,472.26288
390.0,299.47375,86.47238,129.98788,468.95963
390.0,301.91312,86.72158,131.93881,471.88742
390.0,303.49817,86.87936,133.21463,473.7817
390.0,302.24835,86.755,132.20856,472.28815
390.0,302.99628,86.82862,132.81218,473.18036
390.0,303.06302,86.83728,132.86195,473.2641
390.0,311.46283,87.6143,139.73878,483.1869
390.0,312.58582,87.70865,140.67686,484.49475
390.0,309.66235,87.457985,138.2447,481.08002
390.0,312.15152,87.67273,140.31297,483.99005
390.0,310.7845,87.556206,139.17432,482.39465
390.0,312.38647,87.69275,140.50868,484.26428
390.0,310.91577,87.56715,139.28416,482.54736
390.0,312.4926,87.70099,140.59868,484.38654
390.0,307.06836,87.22097,136.11525,478.02148
390.0,309.58206,87.45131,138.17749,480.98663
330.0,306.2528,87.14539,135.44783,477.0578
330.0,307.36475,87.24997,136.3548,478.3747
330.0,306.20145,87.14103,135.40503,476.99786
330.0,305.7824,87.101105,135.06424,476.50058
330.0,306.66614,87.184586,135.78435,477.5479
330.0,306.8621,87.20334,135.94354,477.78064
330.0,305.98975,87.121216,135.23216,476.7473
330.0,306.9437,87.210785,136.01056,477.87683
330.0,306.79865,87.19602,135.89444,477.70285
330.0,306.58624,87.1774,135.71854,477.45395
330.0,304.1232,86.939865,133.72105,474.52533
330.0,306.43466,87.16156,135.598,477.2713
330.0,302.32623,86.7629,132.27095,472.38153
330.0,306.00586,87.121216,135.24828,476.76343
330.0,303.65472,86.894104,133.34227,473.96716
330.0,305.14856,87.039,134.55211,475.745
330.0,306.3189,87.15071,135.50351,477.1343
330.0,306.47226,87.16522,135.62842,477.3161
330.0,305.4931,87.07271,134.8306,476.1556
330.0,309.26944,87.42429,137.91782,480.62106
312.0,304.74814,87.002975,134.2223,475.274
312.0,301.47903,86.68073,131.5848,471.3733
312.0,304.9239,87.02024,134.36421,475.48358
312.0,300.9215,86.62388,131.1387,470.7043
312.0,304.85468,87.01335,134.3085,475.40085
312.0,301.9257,86.725136,131.94443,471.90695
312.0,303.9189,86.92299,133.54985,474.28796
312.0,300.298,86.560455,130.63951,469.95648
312.0,306.82703,87.201385,135.91231,477.74176
312.0,304.66434,86.99634,134.1515,475.1772
312.0,307.6429,87.276474,136.58102,478.7048
312.0,305.86908,87.11012,135.13324,476.60492
