true,predicted,predicted_std,lower_95CI,upper_95CI
935.17,613.4526,286.29437,52.315613,1174.5896
935.17,605.7442,284.453,48.21631,1163.2721
935.17,600.41174,283.17288,45.392883,1155.4307
935.17,608.0965,285.01727,49.462646,1166.7303
935.17,608.00055,284.99402,49.412292,1166.5889
935.17,607.4731,284.8674,49.132996,1165.8132
935.17,600.3318,283.15372,45.350464,1155.3131
935.17,607.0528,284.76703,48.909424,1165.1962
935.17,602.48584,283.67117,46.490356,1158.4813
935.17,626.7859,289.45303,59.457947,1194.1138
935.17,612.449,286.05392,51.783264,1173.1147
935.17,610.5067,285.58917,50.751953,1170.2615
935.17,608.4214,285.09406,49.637024,1167.2058
935.17,607.6562,284.90924,49.23407,1166.0784
935.17,611.18604,285.7536,51.108948,1171.2632
935.17,609.1988,285.27777,50.05432,1168.3433
935.17,612.59827,286.08994,51.862,1173.3345
935.17,609.9555,285.45834,50.457153,1169.4539
935.17,618.4081,287.47205,54.96289,1181.8533
935.17,646.9992,294.0218,70.71649,1223.282
851.09,631.341,290.4949,61.97101,1200.7109
851.09,630.1931,290.23282,61.336792,1199.0494
851.09,628.36273,289.8153,60.324707,1196.4008
851.09,629.8175,290.14868,61.1261,1198.5089
851.09,631.48883,290.5294,62.05121,1200.9265
851.09,627.28925,289.56512,59.741577,1194.8369
851.09,631.95404,290.64163,62.296448,1201.6116
851.09,631.1453,290.45154,61.86029,1200.4304
851.09,641.6524,292.816,67.73303,1215.5718
851.09,641.51776,292.7998,67.63013,1215.4054
851.09,638.5397,292.12247,65.979614,1211.0997
851.09,642.5702,293.0125,68.265625,1216.8748
851.09,637.9742,291.9974,65.65924,1210.2891
851.09,640.29315,292.5094,66.97473,1213.6116
851.09,639.0396,292.23517,66.25867,1211.8206
851.09,641.9185,292.87158,67.8902,1215.9468
851.09,630.8369,290.3808,61.69055,1199.9833
851.09,641.1896,292.70755,67.48279,1214.8964
851.09,640.4593,292.54608,67.06897,1213.8496
851.09,639.27527,292.29303,66.38092,1212.1697
516.48,561.686,273.7203,25.194153,1098.1777
516.48,576.53253,277.3888,32.850464,1120.2146
516.48,569.87085,275.75153,29.397827,1110.3439
516.48,583.92694,279.2003,36.694397,1131.1594
516.48,565.76337,274.73383,27.285034,1104.2417
516.48,583.3246,279.05322,36.38025,1130.2689
516.48,561.64685,273.7092,25.176819,1098.117
516.48,584.52826,279.34625,37.009583,1132.0469
516.48,573.1011,276.5507,31.061707,1115.1404
516.48,579.00476,277.99484,34.134888,1123.8746
516.48,582.6498,278.88095,36.04309,1129.2565
516.48,605.1355,284.32498,47.85852,1162.4125
516.48,570.3827,275.87146,29.674622,1111.0908
516.48,586.5563,279.83673,38.076294,1135.0363
516.48,577.3412,277.58237,33.279724,1121.4026
516.48,600.4061,283.1887,45.356262,1155.456
516.48,596.2126,282.17813,43.143433,1149.2817
516.48,597.86005,282.57547,44.012085,1151.708
516.48,605.09106,284.31738,47.82898,1162.3531
516.48,616.4907,287.0347,53.90271,1179.0787
862.39,605.0817,284.29462,47.864258,1162.2992
862.39,606.91095,284.73267,48.8349,1164.987
862.39,601.5142,283.43915,45.97351,1157.0549
862.39,601.8539,283.5205,46.153687,1157.5541
862.39,604.1669,284.0759,47.378113,1160.9556
862.39,607.10425,284.77856,48.938232,1165.2703
862.39,609.6552,285.39124,50.28839,1169.022
862.39,605.4295,284.37854,48.047546,1162.8115
862.39,590.396,280.75586,40.114502,1140.6775
862.39,614.24695,286.48596,52.734436,1175.7595
862.39,596.0935,282.1371,43.104797,1149.0823
862.39,601.4953,283.43658,45.959595,1157.031
862.39,586.2048,279.73865,37.916992,1134.4926
862.39,588.1105,280.20178,38.914978,1137.3059
862.39,591.9236,281.12802,40.91266,1142.9346
862.39,601.36633,283.40576,45.891052,1156.8416
862.39,591.8135,281.09973,40.85797,1142.769
862.39,597.97284,282.58868,44.099,1151.8467
862.39,595.3408,281.95203,42.714844,1147.9668
862.39,613.3223,286.26886,52.23535,1174.4093
795.85,599.95154,283.06488,45.14435,1154.7588
795.85,595.19495,281.91748,42.636658,1147.7532
795.85,590.2769,280.7259,40.05414,1140.4998
795.85,579.9918,278.21936,34.681885,1125.3018
795.85,595.8471,282.07483,42.980408,1148.7139
795.85,594.7293,281.8069,42.387817,1147.0708
795.85,601.3347,283.3959,45.878723,1156.7908
795.85,588.28534,280.24292,39.009216,1137.5615
795.85,581.91174,278.68658,35.686035,1128.1375
795.85,563.0522,274.04626,25.921509,1100.1829
795.85,604.516,284.15936,47.56366,1161.4683
795.85,606.4608,284.62585,48.594116,1164.3275
795.85,596.0177,282.11288,43.076416,1148.959
795.85,600.39923,283.17044,45.38513,1155.4133
795.85,601.7899,283.50497,46.12018,1157.4597
795.85,612.6697,286.1066,51.900757,1173.4386
795.85,598.4339,282.69824,44.345337,1152.5225
795.85,603.7811,283.98352,47.1734,1160.3889
795.85,580.5686,278.3599,34.983215,1126.154
795.85,576.5417,277.38098,32.87494,1120.2085
549.27,600.5488,283.22946,45.419067,1155.6786
549.27,594.56006,281.7804,42.270447,1146.8496
549.27,603.50323,283.9402,46.98047,1160.026
549.27,592.4883,281.2802,41.179077,1143.7975
549.27,602.42914,283.68213,46.41217,1158.446
549.27,599.5418,282.9843,44.892517,1154.1912
549.27,595.226,281.94638,42.611084,1147.841
549.27,594.36163,281.73312,42.164673,1146.5586
549.27,595.4327,281.9941,42.724182,1148.1411
549.27,605.198,284.34247,47.88678,1162.5093
549.27,603.4169,283.91666,46.940186,1159.8936
549.27,603.38824,283.9085,46.92755,1159.8489
549.27,603.55176,283.9505,47.00879,1160.0947
549.27,602.0626,283.5911,46.22406,1157.9011
549.27,603.7664,284.00195,47.12256,1160.4103
549.27,605.764,284.47943,48.184265,1163.3438
549.27,600.95294,283.32266,45.640503,1156.2654
549.27,603.65137,283.97256,47.065125,1160.2375
549.27,589.2322,280.49133,39.469177,1138.9951
549.27,600.1179,283.11768,45.207275,1155.0286
855.2,579.6222,278.12863,34.49005,1124.7544
855.2,587.2157,279.98114,38.452637,1135.9788
855.2,569.2117,275.56775,29.098877,1109.3245
855.2,585.5261,279.57144,37.5661,1133.4861
855.2,575.48303,277.11316,32.341248,1118.6248
855.2,584.40265,279.29642,36.98169,1131.8236
855.2,591.47284,281.01718,40.67914,1142.2666
855.2,585.3133,279.51785,37.458313,1133.1682
855.2,587.9484,280.1573,38.84015,1137.0566
855.2,589.52734,280.54752,39.654175,1139.4005
855.2,627.16895,289.53366,59.682983,1194.6549
855.2,635.8139,291.51175,64.45087,1207.177
855.2,618.6124,287.51962,55.073975,1182.1509
855.2,633.6596,291.0291,63.242554,1204.0767
855.2,623.77844,288.73813,57.851685,1189.7052
855.2,635.9657,291.5518,64.52417,1207.4072
855.2,624.14825,288.82352,58.05414,1190.2424
855.2,635.4951,291.44156,64.26965,1206.7206
855.2,607.537,284.88437,49.163635,1165.9104
855.2,619.36694,287.7016,55.4718,1183.2621
755.92,602.03357,283.5673,46.24164,1157.8254
755.92,607.63837,284.9129,49.209045,1166.0676
755.92,603.4576,283.9119,46.990234,1159.9249
755.92,601.0276,283.32727,45.706116,1156.3491
755.92,604.53644,284.16953,47.564148,1161.5088
755.92,606.0116,284.5249,48.342773,1163.6804
