true,predicted,predicted_std,lower_95CI,upper_95CI
4803.0,4642.654,1128.1373,2431.5046,6853.8027
4803.0,4563.1807,1117.474,2372.9316,6753.4297
4803.0,4578.988,1119.5994,2384.573,6773.4023
4803.0,4500.8647,1109.0469,2327.1328,6674.5967
4803.0,4611.819,1124.0077,2408.7637,6814.874
4803.0,4619.362,1124.9927,2414.3762,6824.3477
4803.0,4579.3696,1119.6176,2384.9192,6773.8203
4803.0,4532.8604,1113.3738,2350.6477,6715.073
4803.0,4482.4595,1106.5957,2313.5317,6651.387
4803.0,4289.678,1080.2396,2172.4084,6406.948
4803.0,4458.7646,1103.4211,2296.059,6621.47
4803.0,4425.9766,1098.9631,2272.0088,6579.9443
4803.0,4471.231,1105.075,2305.284,6637.1777
4803.0,4428.9053,1099.3431,2274.1926,6583.618
4803.0,4474.444,1105.5083,2307.6475,6641.24
4803.0,4478.951,1106.1399,2310.917,6646.9854
4803.0,4449.7603,1102.1901,2289.4678,6610.0527
4803.0,4408.4487,1096.5636,2259.184,6557.7134
4803.0,4339.0347,1087.0312,2208.4534,6469.616
4803.0,4198.5195,1067.5327,2106.1553,6290.884
3880.0,3849.1697,1018.40985,1853.0863,5845.253
3880.0,3853.6394,1018.9986,1856.4021,5850.877
3880.0,3726.1985,1000.3463,1765.5197,5686.8774
3880.0,3834.7144,1016.22015,1842.9229,5826.506
3880.0,3826.326,1015.03656,1836.8542,5815.798
3880.0,3970.3645,1035.7965,1940.2032,6000.526
3880.0,3855.1946,1019.24884,1857.4668,5852.9224
3880.0,3830.399,1015.59863,1839.8256,5820.972
3880.0,3920.9636,1028.7238,1904.665,5937.262
3880.0,3897.2102,1025.3026,1887.6171,5906.803
3880.0,3768.1548,1006.3737,1795.6622,5740.6475
3880.0,3656.0356,989.8713,1715.888,5596.1836
3880.0,3841.2288,1017.132,1847.65,5834.8076
3880.0,3749.5393,1003.7637,1782.1625,5716.916
3880.0,3821.3113,1014.16425,1833.5493,5809.073
3880.0,3685.213,994.2479,1736.4869,5633.939
3880.0,3901.4038,1025.9037,1890.6326,5912.175
3880.0,3683.078,993.9038,1735.0264,5631.1294
3880.0,3736.1208,1001.7363,1772.7177,5699.524
3880.0,3881.7878,1022.9786,1876.7498,5886.826
2354.0,2479.3257,797.12897,916.9529,4041.6985
2354.0,2604.0764,819.60205,997.6564,4210.4966
2354.0,2480.1426,797.2757,917.4822,4042.803
