true,predicted,predicted_std,lower_95CI,upper_95CI
205.31,209.57828,32.55642,145.7677,273.38885
205.31,209.91888,32.44755,146.32169,273.51608
205.31,205.9915,32.172882,142.93265,269.05035
205.31,206.614,32.1127,143.6731,269.5549
205.31,208.1795,32.39774,144.67993,271.67908
205.31,216.50473,32.990814,151.84274,281.16672
205.31,213.09213,32.689926,149.01987,277.1644
205.31,208.73451,32.317013,145.39316,272.07587
205.31,200.63614,31.726042,138.4531,262.81918
205.31,170.7412,29.08579,113.73305,227.74934
205.31,194.52792,31.202385,133.37125,255.6846
205.31,202.432,31.736338,140.22879,264.63522
205.31,197.87817,31.4555,136.2254,259.53094
205.31,204.05035,31.852764,141.61893,266.48178
205.31,198.67255,31.542494,136.84926,260.49585
205.31,206.19559,32.059006,143.35994,269.03125
205.31,199.26845,31.490227,137.5476,260.9893
205.31,201.933,31.667843,139.86403,264.00198
205.31,184.33455,30.295387,124.95559,243.7135
205.31,172.57132,29.104208,115.52707,229.61557
148.71,143.97049,26.675417,91.686676,196.2543
148.71,146.81975,26.908554,94.07898,199.56052
148.71,142.56879,26.262754,91.09379,194.0438
148.71,148.20839,26.902903,95.4787,200.93808
148.71,146.73686,26.836624,94.13708,199.33664
148.71,150.14027,27.270277,96.69053,203.59003
148.71,141.72006,26.35885,90.05672,193.3834
148.71,147.5005,26.898336,94.77976,200.22125
148.71,149.81822,27.204662,96.497086,203.13936
148.71,142.81671,26.674335,90.53501,195.09842
148.71,152.5485,27.274158,99.09114,206.00584
148.71,145.1225,26.541725,93.100716,197.14429
148.71,148.19647,26.932842,95.4081,200.98485
148.71,146.20506,26.681091,93.910126,198.5
148.71,152.34435,27.288612,98.858665,205.83002
148.71,142.7391,26.308567,91.17432,194.3039
148.71,148.52412,27.034231,95.53703,201.51122
148.71,145.61075,26.587086,93.50006,197.72144
148.71,148.00008,26.804901,95.46246,200.53769
148.71,152.5503,27.310612,99.02149,206.0791
84.68,91.05424,18.657547,54.485443,127.62303
84.68,91.42517,18.860205,54.459167,128.39117
